model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_time,avg_target_c
HGB,REVERSAL,0.65,15,53.333333333333336,71.42857142857143,32.66666666666666,7.575717227777781,6.4
HGB,REVERSAL,0.7,14,64.28571428571429,66.66666666666667,32.14285714285713,7.4997242119047645,6.357142857142857
HGB,REVERSAL,0.75,13,61.53846153846154,61.904761904761905,33.84615384615385,7.694740076923078,6.615384615384615
HGB,REVERSAL,0.8,12,58.333333333333336,57.142857142857146,35.91666666666667,7.273803608333335,6.916666666666667
HGB,REVERSAL,0.85,11,63.63636363636363,52.38095238095238,36.54545454545454,7.116082943939395,7.0
HGB,REVERSAL,0.9,6,66.66666666666666,28.571428571428573,37.33333333333333,7.0777923722222225,7.166666666666667
HGB,BRTI_FLIP,0.55,7,57.14285714285714,33.333333333333336,42.71428571428571,8.308863847619048,8.142857142857142
HGB,BRTI_FLIP,0.6,7,57.14285714285714,33.333333333333336,42.71428571428571,8.308863847619048,8.142857142857142
HGB,BRTI_FLIP,0.65,6,66.66666666666666,28.571428571428573,42.0,8.49518566388889,8.0
HGB,BRTI_FLIP,0.7,6,66.66666666666666,28.571428571428573,42.0,8.49518566388889,8.0
HGB,BRTI_FLIP,0.75,6,66.66666666666666,28.571428571428573,42.0,8.49518566388889,8.0
HGB,BRTI_FLIP,0.8,5,60.0,23.80952380952381,42.400000000000006,8.855693276666667,8.0
HGB,BRTI_FLIP,0.85,5,60.0,23.80952380952381,42.400000000000006,8.855693276666667,8.0
HGB,BRTI_FLIP,0.9,2,50.0,9.523809523809524,48.0,8.6995062,9.0
HGB,LAG_EVENT,0.55,16,50.0,76.19047619047619,31.025000000000002,8.241605188541666,6.375
HGB,LAG_EVENT,0.6,15,46.666666666666664,71.42857142857143,30.959999999999997,8.200538503333336,6.4
HGB,LAG_EVENT,0.65,14,50.0,66.66666666666667,30.67142857142856,8.217478834523812,6.357142857142857
HGB,LAG_EVENT,0.7,14,57.14285714285714,66.66666666666667,30.599999999999994,8.038994491666669,6.357142857142857
HGB,LAG_EVENT,0.75,13,61.53846153846154,61.904761904761905,32.99999999999999,8.066542742307693,6.615384615384615
HGB,LAG_EVENT,0.8,12,66.66666666666666,57.142857142857146,34.333333333333336,7.003501927777777,6.75
HGB,LAG_EVENT,0.85,9,77.77777777777779,42.857142857142854,32.88888888888889,6.901699403703704,6.444444444444445
HGB,LAG_EVENT,0.9,6,83.33333333333334,28.571428571428573,35.166666666666664,7.258236127777778,6.833333333333333
HGB,HYBRID,0.55,17,52.94117647058824,80.95238095238095,29.964705882352938,8.387606085294117,6.176470588235294
HGB,HYBRID,0.6,17,47.05882352941176,80.95238095238095,30.847058823529412,8.289566525490196,6.352941176470588
HGB,HYBRID,0.65,16,56.25,76.19047619047619,28.837500000000006,8.129073177083335,6.0
HGB,HYBRID,0.7,15,66.66666666666666,71.42857142857143,28.09333333333333,8.028454930000002,5.933333333333334
HGB,HYBRID,0.75,13,69.23076923076923,61.904761904761905,30.999999999999993,8.34223923076923,6.3076923076923075
HGB,HYBRID,0.8,13,69.23076923076923,61.904761904761905,33.07692307692307,7.431993150000001,6.538461538461538
HGB,HYBRID,0.85,10,80.0,47.61904761904762,32.599999999999994,7.360606091666666,6.3
HGB,HYBRID,0.9,6,83.33333333333334,28.571428571428573,35.166666666666664,7.258236127777778,6.833333333333333
