feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct_20_40,avg_time,median_time
CORE,HGB,OPEN,0.6,7,28.57142857142857,46.666666666666664,28.857142857142858,33.0,57.14285714285714,7.880129464285714,7.669617766666667
CORE,HGB,OPEN,0.65,6,33.33333333333333,40.0,27.333333333333336,28.500000000000004,50.0,7.382720619444444,7.519797441666666
CORE,HGB,OPEN,0.7,5,40.0,33.333333333333336,28.4,33.0,40.0,7.266569516666668,7.542187433333334
CORE,HGB,OPEN,0.75,1,0.0,6.666666666666667,37.0,37.0,100.0,8.066288516666667,8.066288516666667
CORE,HGB,OPEN,0.8,0,,0.0,,,,,
CORE,HGB,OPEN,0.85,0,,0.0,,,,,
CORE,HGB,OPEN,0.9,0,,0.0,,,,,
CORE,HGB,BRTI,0.6,3,66.66666666666666,20.0,29.666666666666668,38.0,66.66666666666666,8.377141177777778,8.365014216666667
CORE,HGB,BRTI,0.65,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI,0.7,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI,0.75,0,,0.0,,,,,
CORE,HGB,BRTI,0.8,0,,0.0,,,,,
CORE,HGB,BRTI,0.85,0,,0.0,,,,,
CORE,HGB,BRTI,0.9,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE,0.6,3,66.66666666666666,20.0,29.666666666666668,38.0,66.66666666666666,8.377141177777778,8.365014216666667
CORE,HGB,BRTI_SAFE,0.65,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI_SAFE,0.7,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI_SAFE,0.75,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE,0.8,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE,0.85,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE,0.9,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE_LAG,0.6,3,66.66666666666666,20.0,29.666666666666668,38.0,66.66666666666666,8.377141177777778,8.365014216666667
CORE,HGB,BRTI_SAFE_LAG,0.65,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI_SAFE_LAG,0.7,1,100.0,6.666666666666667,39.0,39.0,100.0,9.4735987,9.4735987
CORE,HGB,BRTI_SAFE_LAG,0.75,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE_LAG,0.8,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE_LAG,0.85,0,,0.0,,,,,
CORE,HGB,BRTI_SAFE_LAG,0.9,0,,0.0,,,,,
BRTI,LOGISTIC,OPEN,0.6,10,40.0,66.66666666666667,31.5,34.5,30.0,9.146814365000001,9.789718924999999
BRTI,LOGISTIC,OPEN,0.65,10,40.0,66.66666666666667,31.5,34.5,30.0,9.130064455000001,9.769082125
BRTI,LOGISTIC,OPEN,0.7,9,44.44444444444444,60.0,34.66666666666667,39.0,33.33333333333333,8.941109912962965,9.879457933333333
BRTI,LOGISTIC,OPEN,0.75,9,33.33333333333333,60.0,35.88888888888888,42.0,22.22222222222222,8.885547379629632,9.658706316666668
BRTI,LOGISTIC,OPEN,0.8,7,42.857142857142854,46.666666666666664,31.71428571428571,30.0,28.57142857142857,8.11988407142857,7.376151733333333
BRTI,LOGISTIC,OPEN,0.85,7,42.857142857142854,46.666666666666664,32.57142857142857,30.0,42.857142857142854,8.000784723809524,7.376151733333333
BRTI,LOGISTIC,OPEN,0.9,6,50.0,40.0,33.666666666666664,35.5,33.33333333333333,8.156506216666665,8.002998
BRTI,LOGISTIC,BRTI,0.6,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.366502188888889,8.466322283333334
BRTI,LOGISTIC,BRTI,0.65,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35271035,8.424946766666668
BRTI,LOGISTIC,BRTI,0.7,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.33879631388889,8.383204658333334
BRTI,LOGISTIC,BRTI,0.75,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.095155346666667,7.292810616666667
BRTI,LOGISTIC,BRTI,0.8,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.078545086666667,7.292810616666667
BRTI,LOGISTIC,BRTI,0.85,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.078545086666667,7.292810616666667
BRTI,LOGISTIC,BRTI,0.9,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.045170383333332,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE,0.6,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.366502188888889,8.466322283333334
BRTI,LOGISTIC,BRTI_SAFE,0.65,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35271035,8.424946766666668
BRTI,LOGISTIC,BRTI_SAFE,0.7,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.33879631388889,8.383204658333334
BRTI,LOGISTIC,BRTI_SAFE,0.75,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.095155346666667,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE,0.8,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.078545086666667,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE,0.85,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.078545086666667,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE,0.9,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.045170383333332,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.6,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.338589416666666,8.466322283333334
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.65,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.324797577777778,8.424946766666668
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.7,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.310883541666668,8.383204658333334
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.75,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.06166002,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.8,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.045049760000001,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.85,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.045049760000001,7.292810616666667
BRTI,LOGISTIC,BRTI_SAFE_LAG,0.9,5,60.0,33.333333333333336,34.599999999999994,42.0,20.0,8.011675056666666,7.292810616666667
BRTI,RF,OPEN,0.6,10,40.0,66.66666666666667,35.300000000000004,38.0,70.0,9.080108228333334,9.683800458333334
BRTI,RF,OPEN,0.65,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.644859723809525,9.8070023
