ticker,target_brti,final_brti,result,target_cb_close,target_cb_ohlc4,target_cb_hl2,final_cb_close,final_cb_ohlc4,final_cb_hl2,target_err_close,final_err_close,target_err_ohlc4,final_err_ohlc4,target_err_hl2,final_err_hl2
KXBTC15M-26AUG160145-45,63006.18,62996.88,no,63000.0,63001.78,63001.78,62990.15,62988.465,62987.85,-6.180000000000291,-6.7299999999959255,-4.400000000001455,-8.415000000000873,-4.400000000001455,-9.029999999998836
KXBTC15M-26AUG160200-00,62996.88,63005.04,yes,62990.15,62988.465,62987.85,62997.82,62985.509999999995,62988.649999999994,-6.7299999999959255,-7.220000000001164,-8.415000000000873,-19.530000000006112,-9.029999999998836,-16.390000000006694
KXBTC15M-26AUG160215-15,63005.04,62997.67,no,62997.82,62985.509999999995,62988.649999999994,62979.77,62991.8975,62989.01,-7.220000000001164,-17.900000000001455,-19.530000000006112,-5.772499999999127,-16.390000000006694,-8.659999999996217
KXBTC15M-26AUG160230-30,62997.67,63006.08,yes,62979.77,62991.8975,62989.01,63001.88,63001.42,63001.42,-17.900000000001455,-4.200000000004366,-5.772499999999127,-4.6600000000034925,-8.659999999996217,-4.6600000000034925
KXBTC15M-26AUG160245-45,63006.08,63002.32,no,63001.88,63001.42,63001.42,62997.22,62997.2175,62997.215,-4.200000000004366,-5.099999999998545,-4.6600000000034925,-5.102500000000873,-4.6600000000034925,-5.105000000003201
KXBTC15M-26AUG160300-00,63002.32,63003.28,yes,62997.22,62997.2175,62997.215,62993.72,62992.9675,62992.965,-5.099999999998545,-9.559999999997672,-5.102500000000873,-10.3125,-5.105000000003201,-10.315000000002328
KXBTC15M-26AUG160315-15,63003.28,62991.4,no,62993.72,62992.9675,62992.965,62984.34,62984.335,62984.335,-9.559999999997672,-7.060000000004948,-10.3125,-7.065000000002328,-10.315000000002328,-7.065000000002328
KXBTC15M-26AUG160330-30,62991.4,62997.35,yes,62984.34,62984.335,62984.335,62994.78,62994.774999999994,62994.774999999994,-7.060000000004948,-2.569999999999709,-7.065000000002328,-2.5750000000043656,-7.065000000002328,-2.5750000000043656
KXBTC15M-26AUG160345-45,62997.35,62991.44,no,62994.78,62994.774999999994,62994.774999999994,62982.5,62982.4975,62982.494999999995,-2.569999999999709,-8.940000000002328,-2.5750000000043656,-8.942500000004657,-2.5750000000043656,-8.945000000006985
KXBTC15M-26AUG160400-00,62991.44,62996.65,yes,62982.5,62982.4975,62982.494999999995,62991.23,62993.902500000004,62994.85,-8.940000000002328,-5.419999999998254,-8.942500000004657,-2.7474999999976717,-8.945000000006985,-1.8000000000029104
KXBTC15M-26AUG160415-15,62996.65,62994.51,no,62991.23,62993.902500000004,62994.85,62990.04,62990.842500000006,62990.54,-5.419999999998254,-4.470000000001164,-2.7474999999976717,-3.6674999999959255,-1.8000000000029104,-3.970000000001164
KXBTC15M-26AUG160430-30,62994.51,63008.22,yes,62990.04,62990.842500000006,62990.54,63005.93,63005.95999999999,63005.96,-4.470000000001164,-2.290000000000873,-3.6674999999959255,-2.2600000000093132,-3.970000000001164,-2.2600000000020373
KXBTC15M-26AUG160445-45,63008.22,63000.46,no,63005.93,63005.95999999999,63005.96,62996.58,62997.2,62997.2,-2.290000000000873,-3.8799999999973807,-2.2600000000093132,-3.2600000000020373,-2.2600000000020373,-3.2600000000020373
KXBTC15M-26AUG160500-00,63000.46,63004.24,yes,62996.58,62997.2,62997.2,63001.91,63001.0575,63001.055,-3.8799999999973807,-2.3299999999944703,-3.2600000000020373,-3.1824999999953434,-3.2600000000020373,-3.1849999999976717
KXBTC15M-26AUG160515-15,63004.24,63002.47,no,63001.91,63001.0575,63001.055,62996.15,62996.1525,62996.155,-2.3299999999944703,-6.319999999999709,-3.1824999999953434,-6.317500000004657,-3.1849999999976717,-6.315000000002328
KXBTC15M-26AUG160530-30,63002.47,63000.78,no,62996.15,62996.1525,62996.155,62993.1,62992.8625,62991.525,-6.319999999999709,-7.680000000000291,-6.317500000004657,-7.9174999999959255,-6.315000000002328,-9.25499999999738
KXBTC15M-26AUG160545-45,63000.78,62932.76,no,62993.1,62992.8625,62991.525,62922.46,62925.24249999999,62925.244999999995,-7.680000000000291,-10.30000000000291,-7.9174999999959255,-7.517500000009022,-9.25499999999738,-7.515000000006694
KXBTC15M-26AUG160600-00,62932.76,62925.16,no,62922.46,62925.24249999999,62925.244999999995,62917.51,62917.512500000004,62917.515,-10.30000000000291,-7.650000000001455,-7.517500000009022,-7.647499999999127,-7.515000000006694,-7.6450000000040745
KXBTC15M-26AUG160615-15,62925.16,62921.93,no,62917.51,62917.512500000004,62917.515,62914.0,62918.229999999996,62918.229999999996,-7.650000000001455,-7.930000000000291,-7.647499999999127,-3.7000000000043656,-7.6450000000040745,-3.7000000000043656
