ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,persistence,strengthening,side_agree,calls,contracts,coverage,accuracy,avg_ask,median_ask,avg_time_left,median_time_left,avg_fair,avg_edge,validation_rank
0.4,0.8,0.15,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,67
0.4,0.8,0.15,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,68
0.4,0.8,0.2,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,69
0.4,0.8,0.2,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,70
0.4,0.8,0.25,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,71
0.4,0.8,0.25,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,72
0.45,0.6,0.25,2.0,10.0,25.0,0.0,1,False,False,17,99,0.1717171717171717,0.9411764705882353,0.35294117647058826,0.38,5.411764705882353,5.0,0.818768060420327,0.4658268839497387,73
0.45,0.6,0.25,2.0,10.0,25.0,0.0,1,False,True,17,99,0.1717171717171717,0.9411764705882353,0.35294117647058826,0.38,5.411764705882353,5.0,0.818768060420327,0.4658268839497387,74
0.45,0.65,0.25,2.0,10.0,25.0,0.0,1,False,False,17,99,0.1717171717171717,0.9411764705882353,0.35294117647058826,0.38,5.411764705882353,5.0,0.818768060420327,0.4658268839497387,75
0.45,0.65,0.25,2.0,10.0,25.0,0.0,1,False,True,17,99,0.1717171717171717,0.9411764705882353,0.35294117647058826,0.38,5.411764705882353,5.0,0.818768060420327,0.4658268839497387,76
0.45,0.7,0.08,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,77
0.45,0.7,0.08,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,78
0.45,0.7,0.1,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,79
0.45,0.7,0.1,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,80
0.45,0.7,0.12,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,81
0.45,0.7,0.12,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,82
0.45,0.7,0.15,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,83
0.45,0.7,0.15,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,84
0.45,0.7,0.2,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,85
0.45,0.7,0.2,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,86
0.45,0.7,0.25,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,87
0.45,0.7,0.25,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,0.9375,0.355,0.38,5.375,4.5,0.8281153492162487,0.47311534921624876,88
0.4,0.6,0.08,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,89
0.4,0.6,0.08,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,90
0.4,0.6,0.1,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,91
0.4,0.6,0.1,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,92
0.4,0.6,0.12,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,93
0.4,0.6,0.12,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,94
0.4,0.6,0.15,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,95
0.4,0.6,0.15,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,96
0.4,0.6,0.2,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,97
0.4,0.6,0.2,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,98
0.4,0.6,0.25,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,99
0.4,0.6,0.25,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,100
0.4,0.65,0.08,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,101
0.4,0.65,0.08,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,102
0.4,0.65,0.1,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,103
0.4,0.65,0.1,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,104
0.4,0.65,0.12,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,105
0.4,0.65,0.12,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,106
0.4,0.65,0.15,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,107
0.4,0.65,0.15,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,108
0.4,0.65,0.2,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,109
0.4,0.65,0.2,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,110
0.4,0.65,0.25,2.0,10.0,25.0,0.0,1,False,False,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,111
0.4,0.65,0.25,2.0,10.0,25.0,0.0,1,False,True,14,99,0.1414141414141414,0.9285714285714286,0.3364285714285714,0.37,5.071428571428571,4.0,0.8117051242711594,0.47527655284258813,112
0.4,0.7,0.08,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,0.9230769230769231,0.3376923076923077,0.37,5.0,4.0,0.8226661769315888,0.48497386923928115,113
