contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG202230-30,2026-08-21 02:23:00+00:00,0.28,0.27,0.73
KXBTC15M-26AUG202230-30,2026-08-21 02:24:00+00:00,0.22,0.21,0.79
KXBTC15M-26AUG202230-30,2026-08-21 02:25:00+00:00,0.13,0.12,0.88
KXBTC15M-26AUG202230-30,2026-08-21 02:26:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG202230-30,2026-08-21 02:27:00+00:00,0.37,0.36,0.64
KXBTC15M-26AUG202230-30,2026-08-21 02:28:00+00:00,0.8,0.79,0.2099999999999999
KXBTC15M-26AUG202230-30,2026-08-21 02:29:00+00:00,0.996,0.995,0.005
KXBTC15M-26AUG202230-30,2026-08-21 02:30:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG202245-45,2026-08-21 02:31:00+00:00,0.59,0.58,0.42
KXBTC15M-26AUG202245-45,2026-08-21 02:32:00+00:00,0.58,0.57,0.43
KXBTC15M-26AUG202245-45,2026-08-21 02:33:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG202245-45,2026-08-21 02:34:00+00:00,0.21,0.2,0.8
KXBTC15M-26AUG202245-45,2026-08-21 02:35:00+00:00,0.25,0.24,0.76
KXBTC15M-26AUG202245-45,2026-08-21 02:36:00+00:00,0.14,0.13,0.87
KXBTC15M-26AUG202245-45,2026-08-21 02:37:00+00:00,0.19,0.18,0.8200000000000001
KXBTC15M-26AUG202245-45,2026-08-21 02:38:00+00:00,0.22,0.21,0.79
KXBTC15M-26AUG202245-45,2026-08-21 02:39:00+00:00,0.13,0.12,0.88
KXBTC15M-26AUG202245-45,2026-08-21 02:40:00+00:00,0.11,0.1,0.9
KXBTC15M-26AUG202245-45,2026-08-21 02:41:00+00:00,0.078,0.077,0.923
KXBTC15M-26AUG202245-45,2026-08-21 02:42:00+00:00,0.016,0.015,0.985
KXBTC15M-26AUG202245-45,2026-08-21 02:43:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG202245-45,2026-08-21 02:44:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG202245-45,2026-08-21 02:45:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG202300-00,2026-08-21 02:46:00+00:00,0.33,0.32,0.6799999999999999
KXBTC15M-26AUG202300-00,2026-08-21 02:47:00+00:00,0.29,0.28,0.72
KXBTC15M-26AUG202300-00,2026-08-21 02:48:00+00:00,0.3,0.29,0.71
KXBTC15M-26AUG202300-00,2026-08-21 02:49:00+00:00,0.15,0.14,0.86
KXBTC15M-26AUG202300-00,2026-08-21 02:50:00+00:00,0.11,0.1,0.9
KXBTC15M-26AUG202300-00,2026-08-21 02:51:00+00:00,0.093,0.091,0.909
KXBTC15M-26AUG202300-00,2026-08-21 02:52:00+00:00,0.084,0.083,0.917
KXBTC15M-26AUG202300-00,2026-08-21 02:53:00+00:00,0.086,0.084,0.916
KXBTC15M-26AUG202300-00,2026-08-21 02:54:00+00:00,0.022,0.021,0.979
KXBTC15M-26AUG202300-00,2026-08-21 02:55:00+00:00,0.018,0.017,0.983
KXBTC15M-26AUG202300-00,2026-08-21 02:56:00+00:00,0.016,0.014,0.986
KXBTC15M-26AUG202300-00,2026-08-21 02:57:00+00:00,0.014,0.013,0.987
KXBTC15M-26AUG202300-00,2026-08-21 02:58:00+00:00,0.002,0.001,0.999
KXBTC15M-26AUG202300-00,2026-08-21 02:59:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG202300-00,2026-08-21 03:00:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG202315-15,2026-08-21 03:01:00+00:00,0.52,0.51,0.49
KXBTC15M-26AUG202315-15,2026-08-21 03:02:00+00:00,0.52,0.51,0.49
KXBTC15M-26AUG202315-15,2026-08-21 03:03:00+00:00,0.63,0.62,0.38
KXBTC15M-26AUG202315-15,2026-08-21 03:04:00+00:00,0.49,0.48,0.52
KXBTC15M-26AUG202315-15,2026-08-21 03:05:00+00:00,0.43,0.42,0.5800000000000001
KXBTC15M-26AUG202315-15,2026-08-21 03:06:00+00:00,0.36,0.35,0.65
KXBTC15M-26AUG202315-15,2026-08-21 03:07:00+00:00,0.29,0.28,0.72
KXBTC15M-26AUG202315-15,2026-08-21 03:08:00+00:00,0.21,0.2,0.8
KXBTC15M-26AUG202315-15,2026-08-21 03:09:00+00:00,0.24,0.23,0.77
KXBTC15M-26AUG202315-15,2026-08-21 03:10:00+00:00,0.23,0.22,0.78
KXBTC15M-26AUG202315-15,2026-08-21 03:11:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG202315-15,2026-08-21 03:12:00+00:00,0.7,0.69,0.31
KXBTC15M-26AUG202315-15,2026-08-21 03:13:00+00:00,0.89,0.88,0.12
KXBTC15M-26AUG202315-15,2026-08-21 03:14:00+00:00,0.989,0.988,0.012
