target_roi,stop_roi,model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_target_c,avg_stop_c,avg_time
0.18,0.25,LOGISTIC,BRTI,0.85,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.9,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.55,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.6,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.65,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.7,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.75,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.8,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.85,0,,0.0,,,,
0.18,0.25,LOGISTIC,HYBRID,0.9,0,,0.0,,,,
0.18,0.25,RF,OPEN,0.55,5,80.0,71.42857142857143,24.000000000000004,5.2,6.4,8.158023456666665
0.18,0.25,RF,OPEN,0.6,5,80.0,71.42857142857143,24.000000000000004,5.2,6.4,8.108100133333334
0.18,0.25,RF,OPEN,0.65,4,75.0,57.142857142857146,30.0,6.0,7.75,7.444214791666667
0.18,0.25,RF,OPEN,0.7,4,50.0,57.142857142857146,28.999999999999996,5.75,7.5,6.798373929166666
0.18,0.25,RF,OPEN,0.75,2,50.0,28.571428571428573,27.0,5.5,7.0,7.9511383083333325
0.18,0.25,RF,OPEN,0.8,2,50.0,28.571428571428573,26.0,5.5,6.5,7.5344373666666655
0.18,0.25,RF,OPEN,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,7.000000000000001,5.754095
0.18,0.25,RF,OPEN,0.9,0,,0.0,,,,
0.18,0.25,RF,PULLBACK,0.55,4,75.0,57.142857142857146,25.250000000000007,5.5,6.75,9.2141872625
0.18,0.25,RF,PULLBACK,0.6,4,75.0,57.142857142857146,25.250000000000007,5.5,6.75,9.193342741666665
0.18,0.25,RF,PULLBACK,0.65,3,66.66666666666666,42.857142857142854,26.333333333333336,5.333333333333333,7.0,8.031030577777777
0.18,0.25,RF,PULLBACK,0.7,2,50.0,28.571428571428573,27.0,5.5,7.0,7.9511383083333325
0.18,0.25,RF,PULLBACK,0.75,2,50.0,28.571428571428573,27.0,5.5,7.0,7.9511383083333325
0.18,0.25,RF,PULLBACK,0.8,2,50.0,28.571428571428573,26.0,5.5,6.5,7.5344373666666655
0.18,0.25,RF,PULLBACK,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,7.000000000000001,5.754095
0.18,0.25,RF,PULLBACK,0.9,0,,0.0,,,,
0.18,0.25,RF,LAG,0.55,5,80.0,71.42857142857143,23.800000000000004,5.2,6.4,7.957983346666667
0.18,0.25,RF,LAG,0.6,5,80.0,71.42857142857143,23.800000000000004,5.2,6.4,7.92473564
0.18,0.25,RF,LAG,0.65,4,75.0,57.142857142857146,30.0,6.0,7.75,7.423399925000001
0.18,0.25,RF,LAG,0.7,4,50.0,57.142857142857146,28.999999999999996,5.75,7.5,6.7566864
0.18,0.25,RF,LAG,0.75,2,50.0,28.571428571428573,27.0,5.5,7.0,7.86776325
0.18,0.25,RF,LAG,0.8,1,0.0,14.285714285714286,28.000000000000004,6.0,7.000000000000001,5.754095
0.18,0.25,RF,LAG,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,7.000000000000001,5.754095
0.18,0.25,RF,LAG,0.9,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.55,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.6,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.65,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.7,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.75,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.8,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.85,0,,0.0,,,,
0.18,0.25,RF,BRTI,0.9,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.55,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.6,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.65,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.7,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.75,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.8,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.85,0,,0.0,,,,
0.18,0.25,RF,HYBRID,0.9,0,,0.0,,,,
0.18,0.25,HGB,OPEN,0.55,5,40.0,71.42857142857143,28.400000000000002,6.0,7.6,8.387080483333332
0.18,0.25,HGB,OPEN,0.6,5,40.0,71.42857142857143,28.400000000000002,6.0,7.6,8.387080483333332
0.18,0.25,HGB,OPEN,0.65,5,40.0,71.42857142857143,28.400000000000002,6.0,7.6,8.387080483333332
0.18,0.25,HGB,OPEN,0.7,5,20.0,71.42857142857143,27.200000000000003,5.6,7.4,8.237047393333333
0.18,0.25,HGB,OPEN,0.75,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,OPEN,0.8,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,OPEN,0.85,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,OPEN,0.9,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.9432781625
0.18,0.25,HGB,PULLBACK,0.55,5,20.0,71.42857142857143,27.200000000000003,5.6,7.4,8.237047393333333
0.18,0.25,HGB,PULLBACK,0.6,5,20.0,71.42857142857143,27.200000000000003,5.6,7.4,8.237047393333333
0.18,0.25,HGB,PULLBACK,0.65,5,20.0,71.42857142857143,27.200000000000003,5.6,7.4,8.237047393333333
0.18,0.25,HGB,PULLBACK,0.7,5,20.0,71.42857142857143,27.200000000000003,5.6,7.4,8.237047393333333
0.18,0.25,HGB,PULLBACK,0.75,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,PULLBACK,0.8,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,PULLBACK,0.85,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.964033954166666
0.18,0.25,HGB,PULLBACK,0.9,4,25.0,57.142857142857146,27.500000000000004,5.75,7.5,8.9432781625
0.18,0.25,HGB,LAG,0.55,5,60.0,71.42857142857143,26.200000000000003,5.6,7.0,8.070431866666667
0.18,0.25,HGB,LAG,0.6,5,60.0,71.42857142857143,26.200000000000003,5.6,7.0,8.070431866666667
0.18,0.25,HGB,LAG,0.65,5,60.0,71.42857142857143,26.200000000000003,5.6,7.0,8.070431866666667
0.18,0.25,HGB,LAG,0.7,5,40.0,71.42857142857143,25.000000000000007,5.2,6.8,7.9203987766666675
0.18,0.25,HGB,LAG,0.75,4,50.0,57.142857142857146,24.750000000000004,5.25,6.75,8.568223183333334
0.18,0.25,HGB,LAG,0.8,4,50.0,57.142857142857146,24.750000000000004,5.25,6.75,8.568223183333334
0.18,0.25,HGB,LAG,0.85,4,50.0,57.142857142857146,24.750000000000004,5.25,6.75,8.568223183333334
0.18,0.25,HGB,LAG,0.9,4,50.0,57.142857142857146,24.750000000000004,5.25,6.75,8.568223183333334
0.18,0.25,HGB,BRTI,0.55,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.6,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.65,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.7,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.75,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.8,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.85,0,,0.0,,,,
0.18,0.25,HGB,BRTI,0.9,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.55,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.6,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.65,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.7,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.75,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.8,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.85,0,,0.0,,,,
0.18,0.25,HGB,HYBRID,0.9,0,,0.0,,,,
