timestamp_utc,contract,side,side_num,seconds_left,minutes_left,side_ask,side_bid,side_spread,quote_advantage,btc_gap_side,abs_btc_gap,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s_side,fair_move_15s_side,fair_move_30s_side,brti_gap_side,brti_minus_coinbase_side,brti_age_seconds,brti_agrees_side,result,final_up,correct
2026-09-03 10:09:23.232488+00:00,KXBTC15M-26SEP030615-15,DOWN,0,336.77,5.612833333333333,0.2,0.19,0.01,0.6100000000000001,43.30000000000291,43.30000000000291,7.830000000001746,37.88000000000466,80.52000000000407,91.2899999999936,54.08000000000175,0.0,0.0,0.0,-0.0399999999999999,-0.2699999999999999,0.2,0.2,0.2,0.2,0.24,0.47,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 10:09:28.254464+00:00,KXBTC15M-26SEP030615-15,UP,1,331.75,5.529166666666667,0.36,0.35,0.01,0.29000000000000004,-42.2100000000064,42.2100000000064,1.0899999999965075,-23.919999999998254,-77.97999999999593,-90.19999999999708,-52.99000000000524,-0.45,-0.45,-0.45,-0.41,-0.18,0.36,0.36,0.36,0.81,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:33.235153+00:00,KXBTC15M-26SEP030615-15,UP,1,326.76,5.446,0.36,0.35,0.01,0.29000000000000004,-24.169999999998254,24.169999999998254,19.130000000004657,11.30000000000291,-18.75,-62.979999999995925,-40.51999999998952,-0.45,-0.45,-0.45,-0.41,-0.18,0.36,0.36,0.36,0.81,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:38.237188+00:00,KXBTC15M-26SEP030615-15,UP,1,321.76,5.362666666666667,0.36,0.35,0.01,0.29000000000000004,-24.169999999998254,24.169999999998254,0.0,19.130000000004657,-5.879999999990105,-61.38999999999942,-40.51999999998952,0.0,-0.45,-0.45,-0.41,-0.18,0.36,0.36,0.36,0.81,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:43.261519+00:00,KXBTC15M-26SEP030615-15,UP,1,316.74,5.279,0.36,0.35,0.01,0.29000000000000004,-24.169999999998254,24.169999999998254,0.0,18.04000000000815,11.30000000000291,-59.86999999999534,-41.64999999999418,0.0,0.0,-0.45,-0.45,-0.39,0.36,0.36,0.36,0.81,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:48.233162+00:00,KXBTC15M-26SEP030615-15,UP,1,311.77,5.196166666666667,0.36,0.35,0.01,0.29000000000000004,-3.9199999999982538,3.9199999999982538,20.25,38.29000000000815,31.55000000000291,-39.61999999999534,-33.25999999999476,0.0,0.0,-0.45,-0.45,-0.39,0.36,0.36,0.36,0.81,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:53.234298+00:00,KXBTC15M-26SEP030615-15,UP,1,306.77,5.112833333333333,0.36,0.35,0.01,0.29000000000000004,-3.910000000003493,3.910000000003493,0.0099999999947613,20.25999999999476,39.38999999999942,-41.13000000000466,-33.25,0.0,0.0,-0.45,-0.45,-0.39,0.36,0.36,0.36,0.36,0.81,0.81,0.0,0.45,,,,,,,,,0.0,no,0,0
2026-09-03 10:09:58.253447+00:00,KXBTC15M-26SEP030615-15,DOWN,0,301.75,5.029166666666667,0.4,0.39,0.01,0.20999999999999996,-20.19999999999709,20.19999999999709,-24.110000000000586,-44.36999999999534,-63.5,15.569999999992431,9.130000000004657,-0.25,-0.25,0.2,0.2,0.14,0.4,0.2,0.2,0.65,0.65,0.65,0.2,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:03.233164+00:00,KXBTC15M-26SEP030615-15,DOWN,0,296.77,4.946166666666667,0.4,0.39,0.01,0.20999999999999996,-12.360000000000582,12.360000000000582,-16.270000000004075,-16.279999999998836,-54.570000000006985,-17.779999999998836,27.769999999989523,-0.25,-0.25,-0.25,0.2,0.14,0.4,0.2,0.2,0.65,0.65,0.65,0.2,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:08.233569+00:00,KXBTC15M-26SEP030615-15,DOWN,0,291.77,4.862833333333333,0.4,0.39,0.01,0.20999999999999996,-12.360000000000582,12.360000000000582,-0.0,-16.279999999998836,-36.52999999999884,-17.779999999998836,27.769999999989523,0.0,-0.25,-0.25,0.2,0.14,0.4,0.2,0.2,0.65,0.65,0.65,0.2,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:13.274787+00:00,KXBTC15M-26SEP030615-15,DOWN,0,286.73,4.778833333333334,0.4,0.39,0.01,0.20999999999999996,-1.1699999999982538,1.1699999999982538,11.190000000002328,19.02999999999884,-25.339999999996508,-36.63999999999942,38.94999999999709,0.0,0.0,-0.25,0.2,0.16,0.4,0.2,0.2,0.65,0.65,0.65,0.2,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:18.263450+00:00,KXBTC15M-26SEP030615-15,DOWN,0,281.74,4.695666666666667,0.4,0.39,0.01,0.20999999999999996,-1.1699999999982538,1.1699999999982538,11.190000000002328,11.190000000002328,-5.089999999996508,-36.65000000000873,38.95999999999185,0.0,0.0,-0.25,0.2,0.16,0.4,0.2,0.2,0.65,0.65,0.65,0.2,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:23.235022+00:00,KXBTC15M-26SEP030615-15,DOWN,0,276.76,4.612666666666667,0.4,0.39,0.01,0.20999999999999996,-1.1699999999982538,1.1699999999982538,-0.0,11.190000000002328,-5.080000000001746,-44.47000000000117,46.81999999999243,0.0,0.0,-0.25,0.2,0.16,0.4,0.4,0.2,0.4,0.65,0.65,0.0,0.25,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:28.290073+00:00,KXBTC15M-26SEP030615-15,DOWN,0,271.71,4.528499999999999,0.42,0.41,0.01,0.16999999999999998,-1.1699999999982538,1.1699999999982538,-0.0,-0.0,19.02999999999884,-43.38000000000466,46.81999999999243,0.0199999999999999,0.0199999999999999,0.0199999999999999,-0.23,0.18,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:33.235527+00:00,KXBTC15M-26SEP030615-15,DOWN,0,266.76,4.446,0.42,0.41,0.01,0.16999999999999998,-12.360000000000582,12.360000000000582,-11.190000000002328,-11.190000000002328,-0.0,-36.52999999999884,26.44999999999709,0.0199999999999999,0.0199999999999999,0.0199999999999999,-0.23,0.18,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:38.234942+00:00,KXBTC15M-26SEP030615-15,DOWN,0,261.77,4.362833333333333,0.42,0.41,0.01,0.16999999999999998,-10.119999999995343,10.119999999995343,-8.94999999999709,-8.94999999999709,2.2400000000052387,-34.2899999999936,27.10000000000582,0.0,0.0199999999999999,0.0199999999999999,-0.23,0.18,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:43.238175+00:00,KXBTC15M-26SEP030615-15,DOWN,0,256.76,4.279333333333333,0.42,0.41,0.01,0.16999999999999998,-2.5199999999895226,2.5199999999895226,7.600000000005821,-1.3499999999912689,9.84000000001106,-26.689999999987776,34.70000000001164,0.0,0.0199999999999999,0.0199999999999999,-0.23,0.18,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:48.234846+00:00,KXBTC15M-26SEP030615-15,DOWN,0,251.77,4.196166666666667,0.42,0.41,0.01,0.16999999999999998,-2.5199999999895226,2.5199999999895226,7.600000000005821,-1.3499999999912689,-1.3499999999912689,-6.439999999987776,33.18000000000757,0.0,0.0,0.0199999999999999,-0.23,0.2199999999999999,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:53.234156+00:00,KXBTC15M-26SEP030615-15,DOWN,0,246.77,4.112833333333334,0.42,0.41,0.01,0.16999999999999998,-23.09999999999127,23.09999999999127,-20.580000000001743,-10.739999999990689,-21.92999999999301,-27.019999999989523,14.120000000009895,0.0,0.0,0.0199999999999999,-0.23,0.2199999999999999,0.4,0.4,0.2,0.42,0.65,0.65,0.0199999999999999,0.23,,,,,,,,,0.0,no,0,1
2026-09-03 10:10:58.256959+00:00,KXBTC15M-26SEP030615-15,DOWN,0,241.74,4.029,0.24,0.23,0.0099999999999999,0.53,-24.580000000001743,24.580000000001743,-1.4800000000104774,-22.060000000012224,-23.41000000000349,-4.380000000004657,11.189999999987776,-0.18,-0.18,-0.16,-0.16,0.0399999999999999,0.24,0.24,0.2,0.42,0.42,0.65,0.0,0.18,,,,,,,,,0.0,no,0,1
2026-09-03 10:20:03.356048+00:00,KXBTC15M-26SEP030630-30,DOWN,0,596.64,9.943999999999999,0.2,0.19,0.01,0.6100000000000001,-63.88000000000466,63.88000000000466,-12.470000000001164,-13.5,-10.99000000000524,-3.389999999999418,-57.27000000000408,-0.06,-0.06,-0.06,-0.0399999999999999,-0.24,0.2,0.2,0.2,0.26,0.26,0.44,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:08.346295+00:00,KXBTC15M-26SEP030630-30,DOWN,0,591.65,9.860833333333334,0.2,0.19,0.01,0.6100000000000001,-80.88999999999942,80.88999999999942,-29.479999999995925,-29.479999999995925,-37.63000000000466,-20.39999999999418,-74.27999999999884,0.0,-0.06,-0.06,-0.0399999999999999,-0.24,0.2,0.2,0.2,0.26,0.26,0.44,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:13.389193+00:00,KXBTC15M-26SEP030630-30,DOWN,0,586.61,9.776833333333334,0.2,0.19,0.01,0.6100000000000001,-100.63000000000466,100.63000000000466,-19.74000000000524,-49.22000000000117,-45.49000000000524,-38.370000000009895,-76.86000000000058,0.0,0.0,-0.06,-0.0399999999999999,-0.24,0.2,0.2,0.2,0.26,0.26,0.44,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:18.347086+00:00,KXBTC15M-26SEP030630-30,DOWN,0,581.65,9.694166666666666,0.2,0.19,0.01,0.6100000000000001,-100.52000000000407,100.52000000000407,-19.630000000004657,-49.11000000000058,-50.13999999999942,-38.26000000000931,-74.52000000000407,0.0,0.0,-0.06,-0.0399999999999999,-0.24,0.2,0.2,0.2,0.26,0.26,0.44,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:23.380378+00:00,KXBTC15M-26SEP030630-30,DOWN,0,576.62,9.610333333333333,0.2,0.19,0.01,0.6100000000000001,-110.11999999999534,110.11999999999534,-9.599999999991269,-29.229999999995925,-58.70999999999185,-57.229999999995925,-66.05999999999767,0.0,0.0,-0.06,-0.0399999999999999,-0.24,0.2,0.2,0.2,0.2,0.26,0.31,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:28.379804+00:00,KXBTC15M-26SEP030630-30,DOWN,0,571.62,9.527,0.2,0.19,0.01,0.6100000000000001,-114.02999999999884,114.02999999999884,-13.50999999999476,-33.13999999999942,-62.61999999999534,-61.13999999999942,-69.97000000000116,0.0,0.0,0.0,-0.06,-0.1099999999999999,0.2,0.2,0.2,0.2,0.26,0.31,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:33.357239+00:00,KXBTC15M-26SEP030630-30,DOWN,0,566.64,9.443999999999999,0.2,0.19,0.01,0.6100000000000001,-116.41000000000348,116.41000000000348,-6.290000000008149,-15.889999999999418,-52.52999999999884,-63.52000000000408,-68.77000000000407,0.0,0.0,0.0,-0.06,-0.1099999999999999,0.2,0.2,0.2,0.2,0.26,0.31,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:38.347982+00:00,KXBTC15M-26SEP030630-30,DOWN,0,561.65,9.360833333333334,0.2,0.19,0.01,0.6100000000000001,-125.80000000000292,125.80000000000292,-11.770000000004076,-25.27999999999884,-44.91000000000349,-82.54000000000815,-79.22000000000116,0.0,0.0,0.0,-0.06,-0.1099999999999999,0.2,0.2,0.2,0.2,0.26,0.31,0.0,0.06,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:43.370624+00:00,KXBTC15M-26SEP030630-30,DOWN,0,556.63,9.277166666666666,0.071,0.07,0.0009999999999999,0.8590000000000001,-137.88000000000466,137.88000000000466,-12.080000000001746,-27.760000000009317,-56.99000000000524,-82.74000000000524,-91.75,-0.129,-0.129,-0.129,-0.189,-0.239,0.071,0.071,0.071,0.2,0.26,0.31,0.0,0.189,,,,,,,,,0.0,yes,1,0
2026-09-03 10:20:48.358966+00:00,KXBTC15M-26SEP030630-30,DOWN,0,551.64,9.193999999999999,0.071,0.07,0.0009999999999999,0.8590000000000001,-127.5399999999936,127.5399999999936,-1.7399999999906868,-11.129999999990105,-27.019999999989523,-77.15999999998894,-70.93999999998778,-0.129,-0.129,-0.129,-0.189,-0.239,0.071,0.071,0.071,0.2,0.26,0.31,0.0,0.189,,,,,,,,,0.0,yes,1,0
