fair_min,max_time_left,early_boundary,early_gap,late_gap,min_support,min_dist_range,calls,contracts,coverage,accuracy,avg_time_left,median_time_left,pct_calls_5plus_min_left,avg_gap,avg_fair,validation_rank
0.9,9.0,7.0,150.0,75.0,1,0.0,70,99,0.7070707070707071,0.9428571428571428,6.228571428571429,7.0,0.7571428571428571,228.0047142857141,0.9113040023983884,1940
0.9,9.0,6.0,150.0,75.0,0,0.0,70,99,0.7070707070707071,0.9428571428571428,6.085714285714285,6.0,0.7428571428571429,229.32142857142898,0.9114028586985634,1941
0.9,9.0,7.0,150.0,50.0,2,0.0,70,99,0.7070707070707071,0.9428571428571428,6.085714285714285,7.0,0.7571428571428571,216.7277142857137,0.9112016528365003,1942
0.9,9.0,6.0,150.0,75.0,1,0.0,70,99,0.7070707070707071,0.9428571428571428,6.057142857142857,6.0,0.7428571428571429,228.78828571428602,0.9113479907210599,1943
0.9,8.0,7.0,125.0,75.0,0,0.0,70,99,0.7070707070707071,0.9428571428571428,5.942857142857143,7.0,0.7571428571428571,231.76800000000034,0.9110465240447566,1944
0.9,8.0,7.0,125.0,75.0,1,0.0,70,99,0.7070707070707071,0.9428571428571428,5.942857142857143,7.0,0.7571428571428571,231.76800000000034,0.9110465240447566,1945
0.9,9.0,6.0,150.0,50.0,2,0.0,70,99,0.7070707070707071,0.9428571428571428,5.914285714285715,6.0,0.7428571428571429,217.51128571428563,0.9112456411591718,1946
0.9,8.0,7.0,125.0,50.0,2,0.0,70,99,0.7070707070707071,0.9428571428571428,5.857142857142857,7.0,0.7571428571428571,217.7845714285714,0.9109006101412578,1947
0.9,8.0,6.0,125.0,75.0,0,0.0,70,99,0.7070707070707071,0.9428571428571428,5.785714285714286,6.0,0.7428571428571429,233.1944285714294,0.9112177984511296,1948
0.9,8.0,6.0,125.0,75.0,1,0.0,70,99,0.7070707070707071,0.9428571428571428,5.785714285714286,6.0,0.7428571428571429,233.1944285714294,0.9112177984511296,1949
0.9,8.0,6.0,125.0,50.0,2,0.0,70,99,0.7070707070707071,0.9428571428571428,5.7,6.0,0.7428571428571429,219.21100000000047,0.9110718845476308,1950
0.9,10.0,7.0,150.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,6.536231884057971,7.0,0.7681159420289855,215.05739130434728,0.9111572653305846,1951
0.9,10.0,6.0,150.0,75.0,2,0.0,69,99,0.696969696969697,0.9420289855072463,6.3768115942028984,6.0,0.7536231884057971,215.21999999999989,0.9110347177065804,1952
