ticker,call_time,call_side,winner,correct,signal_status,initial_fair,initial_remaining_min,initial_distance,drop_4m_max,drop_6m_max,layer_a_state,first_post_sec,early_sample_usable,first_post_distance_drop,first_post_fair_drop,shock_distance,shock_fair,shock_either
KXBTC15M-26AUG231715-15,2026-08-23 21:03:24.596316+00:00,UP,UP,True,STRONG,0.8018867924528301,11.5900614,162.52999999999884,0.0,0.0,CLEAN,15.63152,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231730-30,2026-08-23 21:18:16.077787+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9487179487179488,11.732036883333334,244.8700000000099,0.0,9.150000000008703,CLEAN,13.241633,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231745-45,2026-08-23 21:35:23.308854+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.6115191,-165.73000000001048,0.0,0.0,CLEAN,22.453418,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231800-00,2026-08-23 21:49:01.642810+00:00,UP,UP,True,STRONG,0.8018867924528301,10.972619833333331,162.42999999999302,0.0,7.75,CLEAN,20.174506,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231815-15,2026-08-23 22:04:47.858869+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,10.202352183333334,-186.5,126.14999999999418,140.41999999999825,CONFIRMED_DANGER,24.729135,True,94.13999999999942,0.0757721427713014,True,True,True
KXBTC15M-26AUG231915-15,2026-08-23 23:03:58.111678+00:00,DOWN,DOWN,True,STRONG,0.890625,11.031472033333332,-161.7100000000064,25.919999999998254,64.30999999999769,CLEAN,21.388152,True,25.919999999998254,0.08873820754716988,False,True,True
KXBTC15M-26AUG231930-30,2026-08-23 23:18:30.516002+00:00,UP,UP,True,STRONG,0.8018867924528301,11.491399966666668,116.7100000000064,60.16000000000349,83.05999999999767,CLEAN,22.967799,True,0.0,0.0,False,False,False
KXBTC15M-26AUG232000-00,2026-08-23 23:50:11.150543+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.814157616666668,108.06999999999243,32.31999999999243,32.31999999999243,CLEAN,19.107708,True,0.0,0.0,False,False,False
KXBTC15M-26AUG232015-15,2026-08-24 00:06:07.577761+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,8.873703983333334,-126.36000000000058,101.75,102.82000000000698,CONFIRMED_DANGER,21.604986,True,0.0,0.0,False,False,False
KXBTC15M-26AUG232030-30,2026-08-24 00:21:27.808735+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,8.536521083333334,-142.69000000000233,12.479999999995925,12.479999999995925,CLEAN,19.286386,True,0.0,0.0,False,False,False
KXBTC15M-26AUG232045-45,2026-08-24 00:36:02.046134+00:00,UP,DOWN,False,STRONG,0.890625,8.965897766666666,166.2100000000064,186.10000000000582,195.81000000001222,CONFIRMED_DANGER,27.002244,True,52.44000000000233,0.16451035031847128,True,True,True
KXBTC15M-26AUG241215-15,2026-08-24 16:03:51.340475+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.988095238095238,11.144325416666668,306.33000000000175,31.15000000000873,31.15000000000873,CLEAN,58.890616,True,31.15000000000873,0.0,True,False,True
KXBTC15M-26AUG241230-30,2026-08-24 16:18:35.824911+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,11.40291815,308.75,0.0,0.0,CLEAN,59.272024,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241300-00,2026-08-24 16:51:37.215335+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,8.379744416666666,-245.76999999998952,0.0,0.0,CLEAN,58.878339,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241315-15,2026-08-24 17:03:27.647441+00:00,DOWN,UP,False,STRONG,0.8928571428571429,11.539209316666668,-368.11999999999534,295.11999999999534,461.7299999999959,CONFIRMED_DANGER,59.010056,True,96.77999999999884,0.0022321428571429047,True,False,True
KXBTC15M-26AUG241330-30,2026-08-24 17:20:44.090477+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.265158716666669,-212.82000000000696,0.0,0.0,CLEAN,59.15761,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241400-00,2026-08-24 17:50:47.131669+00:00,UP,UP,True,STRONG,0.890625,9.214472183333331,106.36000000000058,96.91999999999825,168.7100000000064,LATE_DANGER_ONLY,58.721042,True,86.63000000000466,0.3191964285714286,True,True,True
KXBTC15M-26AUG241415-15,2026-08-24 18:05:23.099381+00:00,UP,UP,True,STRONG,0.8018867924528301,9.615010316666666,161.47000000000116,129.9200000000128,129.9200000000128,CONFIRMED_DANGER,57.241737,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241530-30,2026-08-24 19:18:36.875712+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.3854048,-146.68000000000757,0.0,0.0,CLEAN,57.251109,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241615-15,2026-08-24 20:04:19.712256+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.6714624,-190.0100000000093,184.47999999999593,217.8000000000029,CONFIRMED_DANGER,55.950831,True,15.779999999998836,0.0,False,False,False
KXBTC15M-26AUG241630-30,2026-08-24 20:20:28.678348+00:00,UP,UP,True,STRONG,0.8018867924528301,9.522027533333333,68.81999999999243,39.029999999998836,63.40999999998894,CLEAN,57.086743,True,0.0,0.0,False,False,False
KXBTC15M-26AUG241645-45,2026-08-24 20:34:46.724216+00:00,UP,UP,True,STRONG,0.8018867924528301,10.221263066666667,126.76999999998952,0.0,0.0,CLEAN,56.84822,True,0.0,0.042488296212228605,False,False,False
KXBTC15M-26AUG241715-15,2026-08-24 21:04:43.828846+00:00,UP,UP,True,STRONG,0.8018867924528301,10.269519233333334,75.11999999999534,16.84999999999126,16.84999999999126,CLEAN,56.818252,True,10.30000000000291,0.042488296212228605,False,False,False
KXBTC15M-26AUG241730-30,2026-08-24 21:20:27.350344+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.544160933333334,-160.4100000000035,87.07000000000698,87.07000000000698,LATE_DANGER_ONLY,57.009891,True,9.430000000007567,0.0,False,False,False
KXBTC15M-26AUG241800-00,2026-08-24 21:49:24.584329+00:00,UP,UP,True,STRONG,0.8928571428571429,10.590261183333332,58.55000000000291,89.79000000000815,115.97000000000116,LATE_DANGER_ONLY,56.418793,True,16.770000000004067,0.16674249317561418,False,True,True
KXBTC15M-26AUG241845-45,2026-08-24 22:34:31.122710+00:00,UP,UP,True,STRONG,0.8018867924528301,10.481288166666667,128.66999999999825,31.40999999998894,80.86999999999534,CLEAN,57.078362,True,6.849999999991269,0.042488296212228605,False,False,False
KXBTC15M-26AUG241930-30,2026-08-24 23:20:38.847167+00:00,UP,UP,True,STRONG,0.890625,9.352547216666666,86.90999999998894,0.0,0.0,CLEAN,56.833001,True,0.0,0.0,False,False,False
KXBTC15M-26AUG242030-30,2026-08-25 00:18:34.445200+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,11.425913333333334,-177.61000000000058,34.75999999999476,73.33999999999651,CLEAN,56.851692,True,0.0,0.0,False,False,False
KXBTC15M-26AUG242100-00,2026-08-25 00:48:30.948418+00:00,UP,UP,True,STRONG,0.8018867924528301,11.484193033333334,246.45999999999185,58.679999999993015,58.679999999993015,CLEAN,56.417172,True,0.0,0.0,False,False,False
KXBTC15M-26AUG242115-15,2026-08-25 01:06:33.341302+00:00,UP,DOWN,False,STRONG,0.8018867924528301,8.444311633333333,155.35000000000582,238.0100000000093,242.7600000000093,CONFIRMED_DANGER,56.821491,True,0.0,0.0,False,False,False
KXBTC15M-26AUG242315-15,2026-08-25 03:04:17.244553+00:00,UP,UP,True,STRONG,0.8018867924528301,10.712590783333331,186.3700000000099,9.520000000004075,9.520000000004075,CLEAN,54.457212,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250030-30,2026-08-25 04:20:19.249975+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.679167083333336,-178.5,82.22000000000116,82.22000000000116,CLEAN,53.285414,True,33.179999999993015,0.03948252688172038,True,False,True
KXBTC15M-26AUG250100-00,2026-08-25 04:51:26.152326+00:00,UP,UP,True,STRONG,0.8018867924528301,8.564127899999999,89.58999999999651,78.68999999998778,80.15999999998894,CLEAN,54.732723,True,17.479999999995925,0.0,False,False,False
KXBTC15M-26AUG250115-15,2026-08-25 05:04:09.502575+00:00,UP,UP,True,STRONG,0.890625,10.84162375,111.02999999999884,0.0,0.0,CLEAN,54.314399,True,0.0,0.13122650375939848,False,True,True
KXBTC15M-26AUG250145-45,2026-08-25 05:36:06.559035+00:00,UP,UP,True,STRONG,0.8928571428571429,8.89068275,119.27999999999884,38.070000000006985,38.070000000006985,CLEAN,54.301236,True,29.0,0.0022321428571429047,False,False,False
KXBTC15M-26AUG250245-45,2026-08-25 06:36:01.587583+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,8.973540283333334,-118.17999999999302,0.0,0.0,CLEAN,54.565994,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250315-15,2026-08-25 07:04:19.877473+00:00,UP,UP,True,STRONG,0.890625,10.668708783333331,203.88999999999945,34.870000000009924,34.870000000009924,CLEAN,54.581826,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250400-00,2026-08-25 07:49:01.609088+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.973181866666666,-384.3100000000122,0.0,0.0,CLEAN,55.13825,True,0.0,0.037250384024577476,False,False,False
KXBTC15M-26AUG250430-30,2026-08-25 08:18:23.472018+00:00,UP,UP,True,STRONG,0.8018867924528301,11.6087997,128.41999999999825,68.3700000000099,68.3700000000099,CLEAN,55.001032,True,49.2100000000064,0.16710418375717795,True,True,True
KXBTC15M-26AUG250500-00,2026-08-25 08:49:27.436571+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.542723816666667,-187.27000000000407,17.94000000000233,17.94000000000233,CLEAN,53.199448,True,17.94000000000233,0.0,False,False,False
KXBTC15M-26AUG250515-15,2026-08-25 09:03:15.421584+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.7429736,-142.16999999999825,0.0,15.989999999990687,CLEAN,52.848957,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250545-45,2026-08-25 09:34:12.724170+00:00,UP,DOWN,False,STRONG,0.890625,10.7879305,123.42999999999302,109.47999999999593,109.47999999999593,CONFIRMED_DANGER,53.226052,True,38.029999999998836,0.08873820754716988,True,True,True
KXBTC15M-26AUG250600-00,2026-08-25 09:48:21.391829+00:00,DOWN,DOWN,True,STRONG,0.890625,11.643469516666666,-171.88000000000466,0.0,0.0,CLEAN,53.401161,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250630-30,2026-08-25 10:19:18.596860+00:00,UP,DOWN,False,STRONG,0.8018867924528301,10.690052333333334,115.69000000000231,129.33000000000175,129.33000000000175,CONFIRMED_DANGER,53.297726,True,21.79999999998836,0.042488296212228605,False,False,False
KXBTC15M-26AUG250730-30,2026-08-25 11:21:44.279770+00:00,UP,UP,True,STRONG,0.890625,8.262003833333333,116.93000000000757,0.0,0.0,CLEAN,53.017448,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250745-45,2026-08-25 11:35:30.890675+00:00,UP,DOWN,False,STRONG,0.890625,9.485155416666666,128.14999999999418,0.0,89.70999999999185,LATE_DANGER_ONLY,52.969854,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250815-15,2026-08-25 12:04:52.121051+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,10.131315816666667,-191.1600000000035,0.0,0.0,CLEAN,53.055795,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250900-00,2026-08-25 12:50:12.257726+00:00,UP,UP,True,STRONG,0.8018867924528301,9.795704566666666,138.63000000000466,36.33000000000173,36.33000000000173,CLEAN,54.204897,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250915-15,2026-08-25 13:06:09.989316+00:00,UP,DOWN,False,STRONG,0.8018867924528301,8.833511399999999,92.19000000000231,253.5100000000093,257.0,CONFIRMED_DANGER,52.964075,True,0.0,0.0,False,False,False
KXBTC15M-26AUG250930-30,2026-08-25 13:18:44.181812+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,11.263636466666666,-179.5899999999965,105.38000000000466,105.38000000000466,CONFIRMED_DANGER,53.380927,True,46.529999999998836,0.09097035040431278,True,True,True
KXBTC15M-26AUG250945-45,2026-08-25 13:33:27.044063+00:00,UP,UP,True,STRONG,0.8018867924528301,11.549265616666666,188.57000000000696,0.0,0.0,CLEAN,53.37117,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251000-00,2026-08-25 13:48:31.159703+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.480671616666664,-190.9499999999971,4.19999999999709,4.19999999999709,CLEAN,53.000529,True,4.19999999999709,0.0,False,False,False
KXBTC15M-26AUG251015-15,2026-08-25 14:05:00.157851+00:00,UP,UP,True,STRONG,0.8928571428571429,9.99736915,201.4899999999907,0.0,0.0,CLEAN,53.372424,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251130-30,2026-08-25 15:20:10.488561+00:00,UP,UP,True,STRONG,0.8018867924528301,9.82519065,140.09999999999127,76.90999999998894,135.3799999999901,LATE_DANGER_ONLY,52.963293,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251145-45,2026-08-25 15:36:08.171359+00:00,UP,UP,True,STRONG,0.8018867924528301,8.863810683333332,170.39999999999418,23.729999999995925,92.95999999999185,LATE_DANGER_ONLY,53.271583,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251445-45,2026-08-25 18:36:59.578019+00:00,DOWN,DOWN,True,STRONG,0.890625,8.007033016666666,-132.43000000000757,15.259999999994761,33.30999999999767,CLEAN,53.010189,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251530-30,2026-08-25 19:20:02.457742+00:00,UP,DOWN,False,STRONG,0.8018867924528301,9.959037633333333,84.63999999999942,85.61000000000058,129.5500000000029,LATE_DANGER_ONLY,54.225234,True,80.02000000000407,0.2355602618405852,True,True,True
KXBTC15M-26AUG251600-00,2026-08-25 19:51:56.810572+00:00,UP,UP,True,STRONG,0.8018867924528301,8.053157133333334,118.75,0.0,0.0,CLEAN,54.353941,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251615-15,2026-08-25 20:04:15.725822+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.737902966666669,-213.40000000000876,100.22000000000119,136.570000000007,CONFIRMED_DANGER,54.430963,True,49.66000000000352,0.17070903064111886,True,True,True
KXBTC15M-26AUG251630-30,2026-08-25 20:19:41.784519+00:00,UP,DOWN,False,STRONG,0.8018867924528301,10.30359135,101.8799999999901,58.2899999999936,74.1299999999901,CLEAN,54.234347,True,58.2899999999936,0.1953294154036498,True,True,True
KXBTC15M-26AUG251700-00,2026-08-25 20:48:23.204181+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,11.61326365,-237.36000000000055,171.6599999999889,171.6599999999889,CONFIRMED_DANGER,54.649201,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251815-15,2026-08-25 22:05:43.935703+00:00,UP,UP,True,STRONG,0.890625,9.267738283333331,144.13999999999942,0.0,0.0,CLEAN,55.025707,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251845-45,2026-08-25 22:33:30.630121+00:00,UP,UP,True,STRONG,0.8018867924528301,11.489497983333331,178.80999999999767,9.10000000000582,9.10000000000582,CLEAN,53.197428,True,1.1500000000087311,0.0,False,False,False
KXBTC15M-26AUG251900-00,2026-08-25 22:50:17.106495+00:00,UP,UP,True,STRONG,0.890625,9.71489175,97.38000000000466,9.639999999999418,9.639999999999418,CLEAN,52.861016,True,9.639999999999418,0.0,False,False,False
KXBTC15M-26AUG251915-15,2026-08-25 23:05:29.994333+00:00,UP,UP,True,STRONG,0.8018867924528301,9.50009445,67.55000000000291,111.94000000000233,147.47999999999593,CONFIRMED_DANGER,53.053096,True,0.0,0.0,False,False,False
KXBTC15M-26AUG251930-30,2026-08-25 23:19:17.087479+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,10.715208683333334,-139.58000000000175,0.0,0.0,CLEAN,52.792558,True,0.0,0.0,False,False,False
KXBTC15M-26AUG252000-00,2026-08-25 23:51:04.369678+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,8.927172033333333,-120.65000000000872,43.940000000002314,43.940000000002314,CLEAN,53.257517,True,0.0,0.0,False,False,False
KXBTC15M-26AUG252030-30,2026-08-26 00:19:21.032377+00:00,UP,UP,True,STRONG,0.8928571428571429,10.649460383333333,212.9499999999971,87.56999999999243,87.56999999999243,LATE_DANGER_ONLY,52.94661,True,67.86000000000058,0.09097035040431278,True,True,True
KXBTC15M-26AUG252100-00,2026-08-26 00:48:27.752509+00:00,UP,UP,True,STRONG,0.8018867924528301,11.537458183333332,105.58999999999652,0.0,0.0,CLEAN,52.938198,True,0.0,0.0,False,False,False
KXBTC15M-26AUG252115-15,2026-08-26 01:05:11.875734+00:00,UP,UP,True,STRONG,0.8928571428571429,9.8020711,184.08000000000172,0.0,64.66999999999824,CLEAN,52.995923,True,0.0,0.0,False,False,False
KXBTC15M-26AUG252130-30,2026-08-26 01:20:09.946951+00:00,UP,DOWN,False,STRONG,0.8928571428571429,9.834217483333331,131.97000000000116,35.63000000000464,99.72999999999593,LATE_DANGER_ONLY,52.720982,True,11.550000000002925,0.0,False,False,False
KXBTC15M-26AUG252145-45,2026-08-26 01:33:22.009018+00:00,UP,UP,True,STRONG,0.8018867924528301,11.633183033333331,177.97000000000116,22.479999999995925,22.479999999995925,CLEAN,52.646901,True,22.479999999995925,0.042488296212228605,False,False,False
KXBTC15M-26AUG252230-30,2026-08-26 02:20:12.204993+00:00,UP,UP,True,STRONG,0.8018867924528301,9.796583450000002,124.72999999999593,22.220000000001164,22.220000000001164,CLEAN,53.128837,True,0.0,0.0,False,False,False
