rule,flagged,misses_caught,total_misses,good_flagged,kept,kept_accuracy,capture
180s_worst_distance_drop <= 61.1275 AND 30s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 30s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 30s_worst_ask_change >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 60s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 60s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 60s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 90s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 90s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 90s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 180s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 240s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 240s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 240s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 300s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 300s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 300s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 360s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 360s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 360s_worst_ask_change <= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 420s_worst_distance_drop >= 0,90,5,5,85,5,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 420s_worst_fair_drop >= 0,90,5,5,85,5,1.0,1.0
