ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,snapshot_utc,start,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct,preferred_agrees_current,fair_ask_ratio,edge_per_time,gap_per_time,model_prob
KXBTC15M-26AUG311545-45,9.0,6.0,0,-49.829999999987194,49.829999999987194,-0.0006299936128279899,-90.21999999998661,-0.0011400564822040447,-44.95999999999185,-48.7899999999936,-85.7899999999936,-46.61999999999534,44.95999999999185,48.7899999999936,85.7899999999936,46.61999999999534,101.13999999999942,0.0004133430887209705,8.304999999997866,0.4926834091357275,0,0,2026-08-31 19:39:00+00:00,2026-08-31 19:30:00+00:00,0.2757909446365624,0.7242090553634376,0,DOWN,0.7242090553634376,2026-08-31 19:39:00+00:00,0.53,0.52,0.48,0.48,0.24420905536343762,1,1,1.5087688653404951,0.040701509227239606,8.304999999997866,0.5660143982197897
KXBTC15M-26AUG311700-00,11.0,4.0,0,-34.830000000001746,34.830000000001746,-0.0004415631207698811,-40.74000000000524,-0.0005164494342255279,-49.85000000000582,-43.74000000000524,-54.7100000000064,-23.85000000000582,49.85000000000582,43.74000000000524,54.7100000000064,23.85000000000582,62.75,0.00036116284211918504,8.707500000000437,0.5550597609562031,0,0,2026-08-31 20:56:00+00:00,2026-08-31 20:45:00+00:00,0.27992050098513377,0.7200794990148662,0,DOWN,0.7200794990148662,2026-08-31 20:56:00+00:00,0.62,0.61,0.39,0.39,0.3300794990148662,1,1,1.8463576897817082,0.08251987475371655,8.707500000000437,0.5686902080183952
KXBTC15M-26SEP010130-30,11.0,4.0,1,25.410000000003492,25.410000000003492,0.0003223076057619048,13.740000000005239,0.0001742562403772919,55.2899999999936,76.55999999999767,91.55999999999767,94.56999999999243,55.2899999999936,76.55999999999767,91.55999999999767,94.56999999999243,94.58999999999651,0.00031035537832915165,6.352500000000873,0.2686330478909444,1,0,2026-09-01 05:26:00+00:00,2026-09-01 05:15:00+00:00,0.7675857249992235,0.2324142750007765,1,UP,0.7675857249992235,2026-09-01 05:26:00+00:00,0.24,0.23,0.77,0.24,0.5275857249992235,1,1,3.1982738541634315,0.13189643124980588,6.352500000000873,0.6739140806494627
KXBTC15M-26SEP010200-00,9.0,6.0,1,40.10000000000582,40.10000000000582,0.0005067769730148949,51.020000000004075,0.0006448710693927036,67.61000000000058,43.44999999999709,94.11000000000058,7.820000000006985,67.61000000000058,43.44999999999709,94.11000000000058,7.820000000006985,116.11000000000058,0.0005725283841373751,6.6833333333343035,0.3453621565757094,1,0,2026-09-01 05:54:00+00:00,2026-09-01 05:45:00+00:00,0.8119800101296649,0.18801998987033508,1,UP,0.8119800101296649,2026-09-01 05:54:00+00:00,0.33,0.32,0.6799999999999999,0.33,0.4819800101296649,1,1,2.4605454852414086,0.08033000168827749,6.6833333333343035,0.6432744165939975
KXBTC15M-26SEP010345-45,6.0,9.0,0,-65.29999999998836,65.29999999998836,-0.0008293920277007838,-65.8299999999872,-0.0008361180650018887,-99.2899999999936,-99.90999999998894,-65.8299999999872,-70.90999999998894,99.2899999999936,99.90999999998894,65.8299999999872,70.90999999998894,108.09999999999127,0.0006226779361236829,7.255555555554262,0.6040703052728366,0,0,2026-09-01 07:36:00+00:00,2026-09-01 07:30:00+00:00,0.2854126196289161,0.7145873803710838,0,DOWN,0.7145873803710838,2026-09-01 07:36:00+00:00,0.72,0.71,0.29,0.29,0.42458738037108384,1,1,2.464094415072703,0.04717637559678709,7.255555555554262,0.5646955073700229
KXBTC15M-26SEP010430-30,6.0,9.0,0,-77.25,77.25,-0.0009869437246604594,-113.16999999999825,-0.0014451933688393254,-70.86999999999534,-9.119999999995343,50.19000000000233,-101.00999999999476,70.86999999999534,9.119999999995343,-50.19000000000233,101.00999999999476,196.32000000000698,0.000842195350767414,8.583333333333334,0.39349022004888573,0,0,2026-09-01 08:21:00+00:00,2026-09-01 08:15:00+00:00,0.26092043339290644,0.7390795666070935,0,DOWN,0.7390795666070935,2026-09-01 08:21:00+00:00,0.57,0.56,0.4399999999999999,0.4399999999999999,0.2990795666070936,1,1,1.6797262877433947,0.03323106295634373,8.583333333333334,0.5005299514962953
KXBTC15M-26SEP010545-45,11.0,4.0,1,41.16000000000349,41.16000000000349,0.000528220189278946,74.20000000001164,0.0009526376057419608,42.25,72.1200000000099,73.45000000001164,117.49000000000524,42.25,72.1200000000099,73.45000000001164,117.49000000000524,136.7899999999936,0.0002215609309424324,10.290000000000873,0.30089918853721337,1,0,2026-09-01 09:41:00+00:00,2026-09-01 09:30:00+00:00,0.8110754243899839,0.18892457561001608,1,UP,0.8110754243899839,2026-09-01 09:41:00+00:00,0.48,0.47,0.53,0.48,0.33107542438998394,1,1,1.6897404674791332,0.08276885609749599,10.290000000000873,0.744332901716911
KXBTC15M-26SEP010800-00,11.0,4.0,0,-47.80999999999767,47.80999999999767,-0.0006122799982941409,-74.98999999999069,-0.0009600272018374387,-54.95999999999185,-88.86000000000058,-112.41999999999825,-107.47999999999593,54.95999999999185,88.86000000000058,112.41999999999825,107.47999999999593,142.9100000000035,0.0002545435774171817,11.952499999999418,0.33454621789935274,0,0,2026-09-01 11:56:00+00:00,2026-09-01 11:45:00+00:00,0.2790698044134199,0.7209301955865801,0,DOWN,0.7209301955865801,2026-09-01 11:56:00+00:00,0.63,0.62,0.38,0.38,0.3409301955865801,1,1,1.8971847252278424,0.08523254889664503,11.952499999999418,0.6245406507427038
KXBTC15M-26SEP010815-15,10.0,5.0,1,27.880000000004657,27.880000000004657,0.0003571329296672894,76.44999999999709,0.0009799070978855678,39.270000000004075,2.139999999999418,38.93000000000757,106.83999999999651,39.270000000004075,2.139999999999418,38.93000000000757,106.83999999999651,163.6999999999971,0.00039872093891693544,5.576000000000931,0.17031154551011088,0,1,2026-09-01 12:10:00+00:00,2026-09-01 12:00:00+00:00,0.819022317194216,0.18097768280578397,1,UP,0.819022317194216,2026-09-01 12:10:00+00:00,0.48,0.47,0.53,0.48,0.33902231719421605,0,1,1.7062964941546168,0.06780446343884321,5.576000000000931,0.5478181321297665
KXBTC15M-26SEP011030-30,9.0,6.0,1,18.70999999999185,18.70999999999185,0.000239110717719278,-63.86000000000058,-0.0008152599921052881,84.2899999999936,109.61000000000058,64.52999999999884,96.5,84.2899999999936,109.61000000000058,64.52999999999884,96.5,155.56999999999243,0.0005858417148343662,3.118333333331975,0.12026740374103466,0,1,2026-09-01 14:24:00+00:00,2026-09-01 14:15:00+00:00,0.7518803702115662,0.24811962978843383,1,UP,0.7518803702115662,2026-09-01 14:24:00+00:00,0.32,0.31,0.69,0.32,0.43188037021156617,0,1,2.3496261569111443,0.0719800617019277,3.118333333331975,0.522622256273684
KXBTC15M-26SEP011630-30,11.0,4.0,0,-36.11000000000058,36.11000000000058,-0.00046676494022669163,-28.919999999998254,-0.0003738603367922945,-36.820000000006985,-23.839999999996508,-30.339999999996508,-30.880000000004657,36.820000000006985,23.839999999996508,30.339999999996508,30.880000000004657,53.66000000000349,0.00025936412912181116,9.027500000000146,0.6729407379798403,0,0,2026-09-01 20:26:00+00:00,2026-09-01 20:15:00+00:00,0.2572332702440792,0.7427667297559208,0,DOWN,0.7427667297559208,2026-09-01 20:26:00+00:00,0.53,0.52,0.48,0.48,0.26276672975592086,1,1,1.5474306869915018,0.06569168243898021,9.027500000000146,0.6036308738674221
