timestamp_utc,contract,target,seconds_left,btc_price,btc_gap,preferred_side,preferred_ask,preferred_fair,edge,fair_move_5s,fair_move_15s,fair_move_30s,ask_move_5s,ask_move_15s,ask_move_30s,candidate_persistence_30s,provisional_candidate
2026-09-05T11:21:56.504218+00:00,KXBTC15M-26SEP050730-30,79655.83,483.5,79628.64,-27.19000000000233,DOWN,0.7,0.865131875979801,0.16513187597980106,-0.001625708127925174,-0.001625708127925174,0.00733561406692973,0.010000000000000009,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:22:01.505167+00:00,KXBTC15M-26SEP050730-30,79655.83,478.49,79628.63,-27.19999999999709,DOWN,0.7,0.8729797839923932,0.17297978399239322,0.007847908012592164,0.006843137387649634,0.006819714544207711,0.0,0.010000000000000009,0.010000000000000009,0,False
2026-09-05T11:22:06.540760+00:00,KXBTC15M-26SEP050730-30,79655.83,473.46,79628.63,-27.19999999999709,DOWN,0.7,0.8729341752883466,0.17293417528834665,-4.560870404657358e-05,0.0061765911806204166,0.0061765911806204166,0.0,0.0,0.010000000000000009,0,False
2026-09-05T11:22:11.520319+00:00,KXBTC15M-26SEP050730-30,79655.83,468.48,79628.63,-27.19999999999709,DOWN,0.7,0.8730446609623465,0.1730446609623465,6.487696995327585e-05,0.00791278498254544,0.006287076854620266,0.0,0.0,0.010000000000000009,0,False
2026-09-05T11:22:16.529313+00:00,KXBTC15M-26SEP050730-30,79655.83,463.47,79628.63,-27.19999999999709,DOWN,0.7,0.8736302874742083,0.1736302874742084,0.000585626511861892,0.0006505034818151678,0.007493640869464802,0.0,0.0,0.010000000000000009,0,False
2026-09-05T11:22:21.507748+00:00,KXBTC15M-26SEP050730-30,79655.83,458.49,79628.64,-27.19000000000233,DOWN,0.66,0.873394831591701,0.21339483159170092,0.00035017062935449594,0.0004150475993077718,0.006637247483974762,-0.039999999999999925,-0.039999999999999925,-0.029999999999999916,0,False
2026-09-05T11:22:26.514316+00:00,KXBTC15M-26SEP050730-30,79655.83,453.49,79628.63,-27.19999999999709,DOWN,0.66,0.875317868730148,0.21531786873014802,0.0019230371384471034,0.002383693441801449,0.01018599275034704,0.0,-0.039999999999999925,-0.039999999999999925,0,False
2026-09-05T11:22:31.521096+00:00,KXBTC15M-26SEP050730-30,79655.83,448.48,79628.63,-27.19999999999709,DOWN,0.66,0.8797157738298748,0.21971577382987473,0.004397905099726707,0.006671112867528306,0.006735989837481582,0.0,-0.039999999999999925,-0.039999999999999925,0,False
2026-09-05T11:22:36.506867+00:00,KXBTC15M-26SEP050730-30,79655.83,443.49,79628.63,-27.19999999999709,DOWN,0.66,0.8797157738298748,0.21971577382987473,0.004397905099726707,0.006085486355666414,0.006735989837481582,0.0,-0.039999999999999925,-0.039999999999999925,0,False
2026-09-05T11:22:41.506641+00:00,KXBTC15M-26SEP050730-30,79655.83,438.49,79628.64,-27.19000000000233,DOWN,0.66,0.8795674521235192,0.21956745212351914,-0.00014832170635559194,0.006172620531818218,0.0066332768351725635,0.0,0.0,-0.039999999999999925,0,False
