ticker,timestamp,remaining_min,btc_price,target_price,stored_distance,derived_btc_minus_target,distance_mismatch,stored_distance_side,derived_side,preferred_side,signal_status,fair_up,fair_down,up_ask,down_ask,source_line
KXBTC15M-26AUG250945-45,2026-08-25 13:41:25.792034+00:00,3.5701327666666667,,,305.2300000000105,,,UP,,UP,LOCK,1.0,0.0,0.96,0.041,3294
KXBTC15M-26AUG250945-45,2026-08-25 13:42:18.793464+00:00,2.6867756,,,376.6399999999994,,,UP,,UP,LOCK,1.0,0.0,0.994,0.008,3295
KXBTC15M-26AUG250945-45,2026-08-25 13:43:11.702488+00:00,1.8049585333333331,,,177.98000000001048,,,UP,,UP,LOCK,0.9487179487179488,0.0512820512820512,0.992,0.01,3296
KXBTC15M-26AUG250945-45,2026-08-25 13:44:05.039179+00:00,0.9160136833333332,,,27.5,,,UP,,UP,STRONG,0.8018867924528301,0.1981132075471698,0.986,0.016,3297
KXBTC15M-26AUG250945-45,2026-08-25 13:44:58.243133+00:00,0.0292811166666666,,,-49.06999999999243,,,DOWN,,DOWN,STRONG,0.1071428571428571,0.8928571428571429,0.935,0.11,3298
KXBTC15M-26AUG270615-15,2026-08-27 10:01:37.405454+00:00,13.376575766666669,,,23.05999999999767,,,UP,,UP,RAW,0.6065573770491803,0.3934426229508196,0.57,0.44,5226
KXBTC15M-26AUG270615-15,2026-08-27 10:02:30.716198+00:00,12.488063366666667,,,-40.5399999999936,,,DOWN,,DOWN,RAW,0.4285714285714285,0.5714285714285714,0.62,0.39,5227
KXBTC15M-26AUG270615-15,2026-08-27 10:03:24.371431+00:00,11.593809483333333,,,36.94999999999709,,,UP,,UP,RAW,0.6065573770491803,0.3934426229508196,0.5,0.51,5228
KXBTC15M-26AUG270615-15,2026-08-27 10:04:18.237860+00:00,10.696035666666669,,,20.00999999999476,,,UP,,UP,RAW,0.5909090909090908,0.4090909090909091,0.62,0.39,5229
KXBTC15M-26AUG270615-15,2026-08-27 10:05:11.971972+00:00,9.800467133333331,,,104.52999999999884,,,UP,,UP,STRONG,0.8018867924528301,0.1981132075471698,0.7,0.31,5230
KXBTC15M-26AUG270615-15,2026-08-27 10:06:05.858077+00:00,8.902365383333334,,,105.57000000000698,,,UP,,UP,STRONG,0.8018867924528301,0.1981132075471698,0.77,0.24,5231
KXBTC15M-26AUG270615-15,2026-08-27 10:06:58.664998+00:00,8.022250033333332,,,136.88000000000466,,,UP,,UP,LEAN,0.7593984962406015,0.2406015037593984,0.82,0.19,5232
KXBTC15M-26AUG270615-15,2026-08-27 10:07:52.133681+00:00,7.131105316666666,,,144.69000000000233,,,UP,,UP,STRONG,0.8018867924528301,0.1981132075471698,0.949,0.052,5233
KXBTC15M-26AUG270615-15,2026-08-27 10:08:45.264974+00:00,6.245583766666667,,,145.9499999999971,,,UP,,UP,STRONG,0.8928571428571429,0.1071428571428571,0.952,0.049,5234
KXBTC15M-26AUG270615-15,2026-08-27 10:09:38.919991+00:00,5.351333483333334,,,175.5500000000029,,,UP,,UP,90%+ LOCK CANDIDATE,1.0,0.0,0.965,0.036,5235
KXBTC15M-26AUG270615-15,2026-08-27 10:10:33.143473+00:00,4.447608783333334,,,184.25,,,UP,,UP,LOCK,1.0,0.0,0.982,0.019,5236
KXBTC15M-26AUG270615-15,2026-08-27 10:11:26.789801+00:00,3.5535033166666663,,,194.24000000000524,,,UP,,UP,LOCK,1.0,0.0,0.992,0.009,5237
KXBTC15M-26AUG270615-15,2026-08-27 10:12:20.710431+00:00,2.65482615,,,50.27999999999884,,,UP,,UP,LEAN,0.7593984962406015,0.2406015037593984,0.991,0.01,5238
KXBTC15M-26AUG270615-15,2026-08-27 10:13:14.303418+00:00,1.7616097000000002,,,47.69999999999709,,,UP,,UP,STRONG,0.890625,0.109375,0.907,0.098,5239
KXBTC15M-26AUG270615-15,2026-08-27 10:14:08.562697+00:00,0.8572883833333333,,,-26.210000000006403,,,DOWN,,DOWN,STRONG,0.109375,0.890625,0.4,0.62,5240
