contract,event_id,side,entry_timestamp_utc,entry_ask,entry_bid,target,btc_price,btc_gap,seconds_left,btc_move_15s,btc_move_30s,btc_move_60s,ask_move_15s,ask_move_30s,ask_move_60s,recent_low_60s,recent_high_60s,bounce_from_low,drawdown_from_high,outcome_timestamp_utc,observed_seconds,max_future_bid,max_gain_vs_entry_ask,min_future_bid,max_adverse_vs_entry_ask,hit_8c,seconds_to_8c,hit_10c,seconds_to_10c,hit_15c,seconds_to_15c,hit_20c,seconds_to_20c,stop_10c_hit,stop_seconds,notes,entry_ask_c,entry_bid_c,max_future_bid_c,roi18_target_c,y,side_sign,aligned_btc_gap,aligned_btc_move_15s,aligned_btc_move_30s,aligned_btc_move_60s,recent_low_60s_c,recent_high_60s_c,bounce_from_low_c,drawdown_from_high_c,ask_move_15s_c,ask_move_30s_c,ask_move_60s_c,market_range_60s_c,entry_pos_60s,pred
KXBTC15M-26SEP040945-45,KXBTC15M-26SEP040945-45|DOWN|1788528662432,DOWN,2026-09-04 13:31:02.432126+00:00,0.34,0.33,79321.41,79390.96,69.55000000000291,837.57,-130.79999999998836,-30.989999999990687,16.639999999999418,0.0,0.0,-0.12,0.34,0.34,0.0,0.0,2026-09-04T13:34:02.730662+00:00,180,0.45,0.1099999999999999,0.33,-0.01,True,135.0,True,180.0,False,30.0,False,30.0,False,160.1,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,34.0,33.0,45.0,41.0,1,-1.0,-69.55000000000291,130.79999999998836,30.989999999990687,16.639999999999418,34.0,34.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.5,0.9130731331534481
KXBTC15M-26SEP041000-00,KXBTC15M-26SEP041000-00|DOWN|1788529852859,DOWN,2026-09-04 13:50:52.859461+00:00,0.29,0.28,79391.79,79531.78,139.99000000000524,547.14,-55.99000000000524,-86.91000000000349,-125.08000000000176,0.1399999999999999,0.1399999999999999,0.1099999999999999,0.15,0.29,0.1399999999999999,0.0,2026-09-04T13:53:53.169189+00:00,180,0.52,0.23,0.18,-0.1099999999999999,False,35.0,False,35.0,False,35.0,False,35.0,True,70.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,28.999999999999996,28.000000000000004,52.0,35.0,1,-1.0,-139.99000000000524,55.99000000000524,86.91000000000349,125.08000000000176,15.0,28.999999999999996,13.99999999999999,0.0,13.99999999999999,13.99999999999999,10.999999999999991,13.999999999999996,1.0,0.8421597694018328
KXBTC15M-26SEP041015-15,KXBTC15M-26SEP041015-15|DOWN|1788530808271,DOWN,2026-09-04 14:06:48.271932+00:00,0.31,0.3,79355.63,79395.15,39.51999999998952,491.73,-113.84000000001106,-77.26000000000931,-115.34000000001106,0.0399999999999999,0.1,0.0,0.21,0.31,0.1,0.0,2026-09-04T14:09:48.519268+00:00,180,0.66,0.35,0.3,-0.01,True,75.0,True,105.0,True,105.0,True,105.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,31.0,30.0,66.0,37.0,1,-1.0,-39.51999999998952,113.84000000001106,77.26000000000931,115.34000000001106,21.0,31.0,10.0,0.0,3.99999999999999,10.0,0.0,10.0,1.0,0.9478846547483433
KXBTC15M-26SEP041030-30,KXBTC15M-26SEP041030-30|UP|1788531903975,UP,2026-09-04 14:25:03.975430+00:00,0.19,0.18,79434.16,79345.0,-89.16000000000349,296.02,80.91000000000349,66.36000000000058,34.80000000000291,-0.06,0.01,0.03,0.18,0.25,0.01,0.06,2026-09-04T14:28:04.234652+00:00,180,0.3,0.1099999999999999,0.17,-0.0199999999999999,True,75.0,True,75.0,False,,False,,False,170.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,19.0,18.0,30.0,23.0,1,1.0,-89.16000000000349,80.91000000000349,66.36000000000058,34.80000000000291,18.0,25.0,1.0,6.0,-6.0,1.0,3.0,7.0,0.14285714285714285,0.8509728424065792
KXBTC15M-26SEP041045-45,KXBTC15M-26SEP041045-45|UP|1788532754754,UP,2026-09-04 14:39:14.754300+00:00,0.28,0.27,79366.24,79311.26,-54.98000000001048,345.25,50.58000000000175,41.31999999999243,64.65999999998894,-0.0499999999999999,-0.0499999999999999,-0.0199999999999999,0.28,0.33,0.0,0.0499999999999999,2026-09-04T14:42:20.052671+00:00,185,0.32,0.0399999999999999,0.047,-0.233,False,,False,,False,,False,,True,95.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,28.000000000000004,27.0,32.0,34.0,0,1.0,-54.98000000001048,50.58000000000175,41.31999999999243,64.65999999998894,28.000000000000004,33.0,0.0,4.99999999999999,-4.99999999999999,-4.99999999999999,-1.99999999999999,4.9999999999999964,0.0,0.8422505111133393
KXBTC15M-26SEP041100-00,KXBTC15M-26SEP041100-00|UP|1788533435152,UP,2026-09-04 14:50:35.152846+00:00,0.1,0.099,78987.08,78769.46,-217.61999999999531,564.85,104.34000000001106,106.07000000000698,77.54000000000815,0.0,-0.03,-0.12,0.1,0.22,0.0,0.12,2026-09-04T14:53:35.461645+00:00,180,0.29,0.1899999999999999,0.099,-0.001,True,60.0,True,60.0,True,60.0,False,40.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,10.0,9.9,28.999999999999996,12.0,1,1.0,-217.61999999999531,104.34000000001106,106.07000000000698,77.54000000000815,10.0,22.0,0.0,12.0,0.0,-3.0,-12.0,12.0,0.0,0.901415846022937
KXBTC15M-26SEP041115-15,KXBTC15M-26SEP041115-15|UP|1788534135466,UP,2026-09-04 15:02:15.466456+00:00,0.35,0.34,78935.64,78913.1,-22.5399999999936,764.53,66.3700000000099,103.97000000000116,91.15000000000872,0.0,0.0399999999999999,-0.06,0.31,0.41,0.0399999999999999,0.06,2026-09-04T15:05:15.709440+00:00,180,0.62,0.27,0.34,-0.0099999999999999,True,5.0,True,5.0,True,110.0,True,140.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,35.0,34.0,62.0,42.0,1,1.0,-22.5399999999936,66.3700000000099,103.97000000000116,91.15000000000872,31.0,41.0,3.99999999999999,6.0,0.0,3.99999999999999,-6.0,10.0,0.4,0.952802500278404
KXBTC15M-26SEP041215-15,KXBTC15M-26SEP041215-15|DOWN|1788538118104,DOWN,2026-09-04 16:08:38.104441+00:00,0.2,0.19,79430.56,79477.16,46.60000000000582,381.9,-37.81999999999243,-14.669999999998254,13.930000000007569,-0.13,-0.13,-0.32,0.2,0.52,0.0,0.32,2026-09-04T16:11:38.326656+00:00,180,0.31,0.1099999999999999,0.18,-0.02,True,20.0,True,20.0,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,20.0,19.0,31.0,24.0,1,-1.0,-46.60000000000582,37.81999999999243,14.669999999998254,-13.930000000007569,20.0,52.0,0.0,32.0,-13.0,-13.0,-32.0,32.0,0.0,0.8074473000571949
KXBTC15M-26SEP041300-00,KXBTC15M-26SEP041300-00|UP|1788540474316,UP,2026-09-04 16:47:54.316863+00:00,0.27,0.26,79843.91,79811.07,-32.83999999999651,725.68,56.03000000001339,34.73000000001048,34.23000000001048,-0.07,-0.1399999999999999,-0.1999999999999999,0.27,0.41,0.0,0.1399999999999999,2026-09-04T16:50:54.565135+00:00,180,0.45,0.18,0.26,-0.01,True,30.0,True,30.0,True,60.0,False,40.0,False,115.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,27.0,26.0,45.0,32.0,1,1.0,-32.83999999999651,56.03000000001339,34.73000000001048,34.23000000001048,27.0,41.0,0.0,13.99999999999999,-7.000000000000001,-13.99999999999999,-19.99999999999999,14.0,0.0,0.8936610270668299
KXBTC15M-26SEP041330-30,KXBTC15M-26SEP041330-30|UP|1788542410003,UP,2026-09-04 17:20:10.003500+00:00,0.28,0.27,79662.43,79636.29,-26.139999999999414,590.0,52.14999999999418,45.3299999999872,0.6599999999889405,-0.0099999999999999,-0.0099999999999999,-0.1399999999999999,0.28,0.42,0.0,0.1399999999999999,2026-09-04T17:23:10.304483+00:00,180,0.46,0.18,0.27,-0.01,True,30.0,True,30.0,True,90.0,False,,False,140.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,28.000000000000004,27.0,46.0,34.0,1,1.0,-26.139999999999414,52.14999999999418,45.3299999999872,0.6599999999889405,28.000000000000004,42.0,0.0,13.99999999999999,-0.99999999999999,-0.99999999999999,-13.99999999999999,13.999999999999996,0.0,0.8490296333994702
KXBTC15M-26SEP041345-45,KXBTC15M-26SEP041345-45|DOWN|1788543730610,DOWN,2026-09-04 17:42:10.610902+00:00,0.33,0.32,79529.46,79498.12,-31.34000000001106,169.39,-38.76000000000931,-40.88000000000466,-24.020000000004075,0.0,-0.1699999999999999,-0.12,0.33,0.5,0.0,0.1699999999999999,2026-09-04T17:45:11.000678+00:00,180,0.995,0.665,0.32,-0.01,True,15.0,True,15.0,True,15.0,True,15.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,33.0,32.0,99.5,39.0,1,-1.0,31.34000000001106,38.76000000000931,40.88000000000466,24.020000000004075,33.0,50.0,0.0,16.99999999999999,0.0,-16.99999999999999,-12.0,17.0,0.0,0.8510190272814375
KXBTC15M-26SEP041400-00,KXBTC15M-26SEP041400-00|UP|1788544720841,UP,2026-09-04 17:58:40.841777+00:00,0.16,0.15,79507.69,79520.33,12.639999999999418,79.16,41.61999999999534,37.05999999999767,30.210000000006403,-0.16,-0.16,-0.1899999999999999,0.16,0.35,0.0,0.1899999999999999,2026-09-04T18:00:26.707943+00:00,105,0.76,0.6,0.004,-0.156,True,30.0,True,30.0,True,30.0,True,30.0,True,60.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,16.0,15.0,76.0,19.0,1,1.0,12.639999999999418,41.61999999999534,37.05999999999767,30.210000000006403,16.0,35.0,0.0,18.99999999999999,-16.0,-16.0,-18.99999999999999,19.0,0.0,0.8420149992999981
KXBTC15M-26SEP041700-00,KXBTC15M-26SEP041700-00|DOWN|1788555073458,DOWN,2026-09-04 20:51:13.458603+00:00,0.27,0.26,79725.24,79690.11,-35.13000000000466,526.54,-41.429999999993015,-59.11000000000058,-64.13999999999942,0.09,0.09,0.06,0.18,0.27,0.09,0.0,2026-09-04T20:54:18.740182+00:00,184,0.5,0.2299999999999999,0.26,-0.01,True,25.2,True,25.2,True,25.2,True,25.2,False,60.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,27.0,26.0,50.0,32.0,1,-1.0,35.13000000000466,41.429999999993015,59.11000000000058,64.13999999999942,18.0,27.0,9.0,0.0,9.0,9.0,6.0,9.0,1.0,0.8298567158917322
KXBTC15M-26SEP041715-15,KXBTC15M-26SEP041715-15|DOWN|1788555689151,DOWN,2026-09-04 21:01:29.151629+00:00,0.31,0.3,79714.8,79727.25,12.44999999999709,810.85,-32.429999999993015,-17.229999999995925,-1.5,0.0,-0.0999999999999999,-0.0999999999999999,0.31,0.41,0.0,0.0999999999999999,2026-09-04T21:04:29.372442+00:00,180,0.41,0.0999999999999999,0.27,-0.0399999999999999,True,10.0,False,,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,31.0,30.0,41.0,37.0,1,-1.0,-12.44999999999709,32.429999999993015,17.229999999995925,1.5,31.0,41.0,0.0,9.99999999999999,0.0,-9.99999999999999,-9.99999999999999,10.0,0.0,0.8067268848140955
KXBTC15M-26SEP041845-45,KXBTC15M-26SEP041845-45|DOWN|1788561839872,DOWN,2026-09-04 22:43:59.872140+00:00,0.13,0.12,79718.16,79685.01,-33.15000000000873,60.13,-40.76000000000931,-49.09000000001106,-34.26000000000931,-0.0199999999999999,-0.0199999999999999,-0.2,0.13,0.33,0.0,0.2,2026-09-04T22:45:30.448325+00:00,90,0.999,0.869,0.12,-0.01,True,30.0,True,30.0,True,30.0,True,30.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,13.0,12.0,99.9,16.0,1,-1.0,33.15000000000873,40.76000000000931,49.09000000001106,34.26000000000931,13.0,33.0,0.0,20.0,-1.99999999999999,-1.99999999999999,-20.0,20.0,0.0,0.8154457953837878
KXBTC15M-26SEP041915-15,KXBTC15M-26SEP041915-15|UP|1788563610712,UP,2026-09-04 23:13:30.712402+00:00,0.25,0.23,79664.53,79630.23,-34.30000000000291,89.29,-8.770000000004075,-40.94000000000233,-36.83000000000175,-0.59,-0.51,-0.41,0.25,0.84,0.0,0.59,2026-09-04T23:15:16.174801+00:00,105,0.23,-0.0199999999999999,0.0,-0.25,False,,False,,False,,False,,True,45.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,25.0,23.0,23.0,30.0,0,1.0,-34.30000000000291,-8.770000000004075,-40.94000000000233,-36.83000000000175,25.0,84.0,0.0,59.0,-59.0,-51.0,-41.0,59.0,0.0,0.8450682769794033
KXBTC15M-26SEP041930-30,KXBTC15M-26SEP041930-30|DOWN|1788563755918,DOWN,2026-09-04 23:15:55.918323+00:00,0.31,0.3,79639.35,79633.72,-5.630000000004657,844.08,-16.25999999999476,-3.779999999998836,,-0.13,-0.13,,0.31,0.44,0.0,0.13,2026-09-04T23:18:56.155691+00:00,180,0.48,0.1699999999999999,0.3,-0.01,True,35.1,True,35.1,True,65.0,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,31.0,30.0,48.0,37.0,1,-1.0,5.630000000004657,16.25999999999476,3.779999999998836,,31.0,44.0,0.0,13.0,-13.0,-13.0,,13.0,0.0,0.8020003462240386
