minute,distance_threshold,fair_mode,fair_threshold,warned,misses_caught,total_misses,good_flagged,kept,kept_accuracy,rule,catch_all,capture_rate
6,15,OR,0.025,13,2,2,11,19,1.0,6m dist_gain < +$15 OR fair_gain < 0.025,True,1.0
6,15,OR,0.05,13,2,2,11,19,1.0,6m dist_gain < +$15 OR fair_gain < 0.050,True,1.0
2,10,NONE,,14,2,2,12,18,1.0,2m distance_gain < +$10,True,1.0
2,10,AND,0.1,14,2,2,12,18,1.0,2m dist_gain < +$10 AND fair_gain < 0.100,True,1.0
2,15,NONE,,14,2,2,12,18,1.0,2m distance_gain < +$15,True,1.0
2,15,AND,0.1,14,2,2,12,18,1.0,2m dist_gain < +$15 AND fair_gain < 0.100,True,1.0
2,20,NONE,,14,2,2,12,18,1.0,2m distance_gain < +$20,True,1.0
2,20,AND,0.1,14,2,2,12,18,1.0,2m dist_gain < +$20 AND fair_gain < 0.100,True,1.0
2,25,NONE,,14,2,2,12,18,1.0,2m distance_gain < +$25,True,1.0
2,25,AND,0.1,14,2,2,12,18,1.0,2m dist_gain < +$25 AND fair_gain < 0.100,True,1.0
2,30,AND,0.1,14,2,2,12,18,1.0,2m dist_gain < +$30 AND fair_gain < 0.100,True,1.0
3,10,NONE,,14,2,2,12,18,1.0,3m distance_gain < +$10,True,1.0
3,10,OR,0.0,14,2,2,12,18,1.0,3m dist_gain < +$10 OR fair_gain < 0.000,True,1.0
3,15,NONE,,14,2,2,12,18,1.0,3m distance_gain < +$15,True,1.0
3,15,OR,0.0,14,2,2,12,18,1.0,3m dist_gain < +$15 OR fair_gain < 0.000,True,1.0
3,20,NONE,,14,2,2,12,18,1.0,3m distance_gain < +$20,True,1.0
3,20,OR,0.0,14,2,2,12,18,1.0,3m dist_gain < +$20 OR fair_gain < 0.000,True,1.0
4,10,OR,0.075,14,2,2,12,18,1.0,4m dist_gain < +$10 OR fair_gain < 0.075,True,1.0
4,15,OR,0.05,14,2,2,12,18,1.0,4m dist_gain < +$15 OR fair_gain < 0.050,True,1.0
6,10,OR,0.075,14,2,2,12,18,1.0,6m dist_gain < +$10 OR fair_gain < 0.075,True,1.0
6,15,OR,0.075,14,2,2,12,18,1.0,6m dist_gain < +$15 OR fair_gain < 0.075,True,1.0
2,10,OR,0.0,15,2,2,13,17,1.0,2m dist_gain < +$10 OR fair_gain < 0.000,True,1.0
2,15,OR,0.0,15,2,2,13,17,1.0,2m dist_gain < +$15 OR fair_gain < 0.000,True,1.0
2,20,OR,0.0,15,2,2,13,17,1.0,2m dist_gain < +$20 OR fair_gain < 0.000,True,1.0
2,25,OR,0.0,15,2,2,13,17,1.0,2m dist_gain < +$25 OR fair_gain < 0.000,True,1.0
2,30,NONE,,15,2,2,13,17,1.0,2m distance_gain < +$30,True,1.0
3,10,OR,0.025,15,2,2,13,17,1.0,3m dist_gain < +$10 OR fair_gain < 0.025,True,1.0
3,10,OR,0.05,15,2,2,13,17,1.0,3m dist_gain < +$10 OR fair_gain < 0.050,True,1.0
3,15,OR,0.025,15,2,2,13,17,1.0,3m dist_gain < +$15 OR fair_gain < 0.025,True,1.0
3,15,OR,0.05,15,2,2,13,17,1.0,3m dist_gain < +$15 OR fair_gain < 0.050,True,1.0
3,20,OR,0.025,15,2,2,13,17,1.0,3m dist_gain < +$20 OR fair_gain < 0.025,True,1.0
3,20,OR,0.05,15,2,2,13,17,1.0,3m dist_gain < +$20 OR fair_gain < 0.050,True,1.0
3,25,NONE,,15,2,2,13,17,1.0,3m distance_gain < +$25,True,1.0
3,25,OR,0.0,15,2,2,13,17,1.0,3m dist_gain < +$25 OR fair_gain < 0.000,True,1.0
4,15,OR,0.075,15,2,2,13,17,1.0,4m dist_gain < +$15 OR fair_gain < 0.075,True,1.0
6,10,OR,0.1,15,2,2,13,17,1.0,6m dist_gain < +$10 OR fair_gain < 0.100,True,1.0
6,15,OR,0.1,15,2,2,13,17,1.0,6m dist_gain < +$15 OR fair_gain < 0.100,True,1.0
6,20,NONE,,15,2,2,13,17,1.0,6m distance_gain < +$20,True,1.0
6,20,OR,0.0,15,2,2,13,17,1.0,6m dist_gain < +$20 OR fair_gain < 0.000,True,1.0
6,20,OR,0.025,15,2,2,13,17,1.0,6m dist_gain < +$20 OR fair_gain < 0.025,True,1.0
6,20,OR,0.05,15,2,2,13,17,1.0,6m dist_gain < +$20 OR fair_gain < 0.050,True,1.0
2,10,OR,0.025,16,2,2,14,16,1.0,2m dist_gain < +$10 OR fair_gain < 0.025,True,1.0
2,15,OR,0.025,16,2,2,14,16,1.0,2m dist_gain < +$15 OR fair_gain < 0.025,True,1.0
2,20,OR,0.025,16,2,2,14,16,1.0,2m dist_gain < +$20 OR fair_gain < 0.025,True,1.0
2,25,OR,0.025,16,2,2,14,16,1.0,2m dist_gain < +$25 OR fair_gain < 0.025,True,1.0
2,30,OR,0.0,16,2,2,14,16,1.0,2m dist_gain < +$30 OR fair_gain < 0.000,True,1.0
3,25,OR,0.025,16,2,2,14,16,1.0,3m dist_gain < +$25 OR fair_gain < 0.025,True,1.0
3,25,OR,0.05,16,2,2,14,16,1.0,3m dist_gain < +$25 OR fair_gain < 0.050,True,1.0
4,10,OR,0.1,16,2,2,14,16,1.0,4m dist_gain < +$10 OR fair_gain < 0.100,True,1.0
4,20,NONE,,16,2,2,14,16,1.0,4m distance_gain < +$20,True,1.0
4,20,OR,0.0,16,2,2,14,16,1.0,4m dist_gain < +$20 OR fair_gain < 0.000,True,1.0
5,10,NONE,,16,2,2,14,16,1.0,5m distance_gain < +$10,True,1.0
5,10,OR,0.0,16,2,2,14,16,1.0,5m dist_gain < +$10 OR fair_gain < 0.000,True,1.0
5,10,OR,0.025,16,2,2,14,16,1.0,5m dist_gain < +$10 OR fair_gain < 0.025,True,1.0
