ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,start,snapshot_utc,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct
KXBTC15M-26AUG312145-45,9.0,6.0,1,102.88999999999942,102.88999999999942,0.0013121677575041472,113.09999999999127,0.0014425648726906688,38.11000000000058,3.6599999999889405,3.6499999999941792,62.51999999998952,38.11000000000058,3.6599999999889405,3.6499999999941792,62.51999999998952,86.66999999999825,0.0003269703755044359,17.148333333333238,1.1871466482058555,1,0,2026-09-01 01:30:00+00:00,2026-09-01 01:39:00+00:00,0.9194208044222911,0.08057919557770887,1,UP,0.9194208044222911,2026-09-01 01:39:00+00:00,0.8,0.79,0.20999999999999996,0.8,0.11942080442229108,True
KXBTC15M-26AUG312200-00,9.0,6.0,0,-140.77999999999884,140.77999999999884,-0.001792134999525791,-96.43999999998778,-0.0012283783940415724,7.490000000005239,-29.329999999987194,-38.829999999987194,-75.69999999999709,-7.490000000005239,29.329999999987194,38.829999999987194,75.69999999999709,114.16000000000349,0.00020748533254344936,23.46333333333314,1.2331814996495667,0,0,2026-09-01 01:45:00+00:00,2026-09-01 01:54:00+00:00,0.09711810126191148,0.9028818987380886,0,DOWN,0.9028818987380886,2026-09-01 01:54:00+00:00,0.046,0.044,0.956,0.956,-0.05311810126191141,True
KXBTC15M-26AUG312230-30,11.0,4.0,1,64.88000000000466,64.88000000000466,0.0008295133909262724,37.80000000000291,0.00048311889287558,15.389999999999418,-19.09999999999127,-12.209999999991851,30.320000000006985,15.389999999999418,-19.09999999999127,-12.209999999991851,30.320000000006985,61.06999999999243,0.0002850941473164286,16.220000000001164,1.0623874242674423,0,1,2026-09-01 02:15:00+00:00,2026-09-01 02:26:00+00:00,0.900980702104274,0.09901929789572606,1,UP,0.900980702104274,2026-09-01 02:26:00+00:00,0.89,0.88,0.12,0.89,0.010980702104273932,False
KXBTC15M-26AUG312245-45,8.0,7.0,1,115.83000000000175,115.83000000000175,0.0014810541300159376,64.5,0.0008241848811525402,23.429999999993015,-29.80999999999767,-15.19999999999709,-41.49000000000524,23.429999999993015,-29.80999999999767,-15.19999999999709,-41.49000000000524,75.0,0.00037933224859848714,16.547142857143108,1.5444000000000233,1,0,2026-09-01 02:30:00+00:00,2026-09-01 02:38:00+00:00,0.9136465134522093,0.08635348654779074,1,UP,0.9136465134522093,2026-09-01 02:38:00+00:00,0.86,0.85,0.15000000000000002,0.86,0.05364651345220928,True
KXBTC15M-26AUG312300-00,9.0,6.0,1,63.51999999998952,63.51999999998952,0.0008109725401785635,68.2899999999936,0.0008719251837374985,-1.5500000000029104,12.69999999999709,-13.830000000001746,3.7299999999959255,-1.5500000000029104,12.69999999999709,-13.830000000001746,3.7299999999959255,40.570000000006985,0.0001871994648127215,10.58666666666492,1.5656889327083703,1,0,2026-09-01 02:45:00+00:00,2026-09-01 02:54:00+00:00,0.9049162807880744,0.0950837192119256,1,UP,0.9049162807880744,2026-09-01 02:54:00+00:00,0.88,0.87,0.13,0.88,0.024916280788074396,True
KXBTC15M-26AUG312345-45,7.0,8.0,1,312.91999999999825,312.91999999999825,0.003988819272783616,284.45999999999185,0.0036247221186541793,-60.18000000000757,15.89999999999418,65.11999999999534,175.5,-60.18000000000757,15.89999999999418,65.11999999999534,175.5,238.05999999999767,0.0006806416231303747,39.11499999999978,1.3144585398639055,1,0,2026-09-01 03:30:00+00:00,2026-09-01 03:37:00+00:00,0.9200983946456851,0.0799016053543149,1,UP,0.9200983946456851,2026-09-01 03:37:00+00:00,0.976,0.975,0.025000000000000022,0.976,-0.055901605354314876,True
KXBTC15M-26SEP010000-00,11.0,4.0,0,-126.99000000000524,126.99000000000524,-0.001611807585281556,-74.36999999999534,-0.0009445644677632016,-0.2599999999947613,-13.110000000000582,-33.970000000001164,-33.779999999998836,0.2599999999947613,13.110000000000582,33.970000000001164,33.779999999998836,60.179999999993015,0.00012042413549006769,31.74750000000131,2.1101694915257556,0,0,2026-09-01 03:45:00+00:00,2026-09-01 03:56:00+00:00,0.08504247223177398,0.914957527768226,0,DOWN,0.914957527768226,2026-09-01 03:56:00+00:00,0.024,0.023,0.977,0.977,-0.06204247223177395,True
KXBTC15M-26SEP010030-30,8.0,7.0,1,138.08000000000175,138.08000000000175,0.0017559362994939824,82.16999999999825,0.0010441973658828207,35.720000000001164,64.83000000000175,69.55000000000291,59.19000000000233,35.720000000001164,64.83000000000175,69.55000000000291,59.19000000000233,93.7899999999936,0.00015022757114275888,19.725714285714535,1.472225183921646,1,0,2026-09-01 04:15:00+00:00,2026-09-01 04:23:00+00:00,0.9135867606462768,0.08641323935372325,1,UP,0.9135867606462768,2026-09-01 04:23:00+00:00,0.86,0.85,0.15000000000000002,0.86,0.053586760646276765,True
KXBTC15M-26SEP010045-45,9.0,6.0,0,-101.40999999998894,101.40999999998894,-0.0012868598551116983,-125.88999999999942,-0.0015970069788025126,-13.229999999995925,-22.989999999990687,2.5200000000040745,-25.019999999989523,13.229999999995925,22.989999999990687,-2.5200000000040745,25.019999999989523,42.50999999999476,0.00019514728114468553,16.901666666664823,2.385556339684814,0,0,2026-09-01 04:30:00+00:00,2026-09-01 04:39:00+00:00,0.0991234718824216,0.9008765281175783,0,DOWN,0.9008765281175783,2026-09-01 04:39:00+00:00,0.1,0.099,0.901,0.901,-0.0001234718824216774,True
KXBTC15M-26SEP010115-15,7.0,8.0,1,161.05999999999767,161.05999999999767,0.002046681259193103,109.64999999999418,0.0013924753754730058,-41.63999999999942,-84.75,-27.680000000007567,54.31999999999243,-41.63999999999942,-84.75,-27.680000000007567,54.31999999999243,153.5399999999936,0.0006194083454226082,20.13249999999971,1.0489774651556882,1,0,2026-09-01 05:00:00+00:00,2026-09-01 05:07:00+00:00,0.9178111451614318,0.08218885483856819,1,UP,0.9178111451614318,2026-09-01 05:07:00+00:00,0.936,0.935,0.06499999999999995,0.936,-0.018188854838568247,True
KXBTC15M-26SEP010145-45,7.0,8.0,1,122.72000000000116,122.72000000000116,0.0015544566495075338,76.99000000000524,0.0009746441865114416,9.610000000000582,23.789999999993597,21.789999999993597,55.25,9.610000000000582,23.789999999993597,21.789999999993597,55.25,70.88000000000466,8.08829541230305e-05,15.340000000000146,1.731376975169203,1,0,2026-09-01 05:30:00+00:00,2026-09-01 05:37:00+00:00,0.9143529398239282,0.08564706017607182,1,UP,0.9143529398239282,2026-09-01 05:37:00+00:00,0.84,0.83,0.17000000000000004,0.84,0.07435293982392821,True
KXBTC15M-26SEP010215-15,10.0,5.0,0,-171.70999999999185,171.70999999999185,-0.0021694684492753217,-122.80999999999767,-0.0015526010777309098,3.4800000000104774,-27.55999999999767,-46.65999999998894,-67.33999999999651,-3.4800000000104774,27.55999999999767,46.65999999998894,67.33999999999651,122.22999999999593,0.00017424067538530813,34.34199999999837,1.4048106029616099,0,0,2026-09-01 06:00:00+00:00,2026-09-01 06:10:00+00:00,0.08791397999939016,0.9120860200006098,0,DOWN,0.9120860200006098,2026-09-01 06:10:00+00:00,0.026,0.025,0.975,0.975,-0.06291397999939019,True
KXBTC15M-26SEP010230-30,12.0,3.0,0,-157.36000000000058,157.36000000000058,-0.001991908567649898,-54.770000000004075,-0.0006941960545531893,-6.7700000000040745,2.3099999999976717,27.880000000004657,-15.89999999999418,6.7700000000040745,-2.3099999999976717,-27.880000000004657,15.89999999999418,69.69999999999709,0.00020320812422575368,52.453333333333525,2.2576757532282232,0,0,2026-09-01 06:15:00+00:00,2026-09-01 06:27:00+00:00,0.09091041487699236,0.9090895851230076,0,DOWN,0.9090895851230076,2026-09-01 06:27:00+00:00,0.017,0.015,0.985,0.985,-0.07591041487699235,True
KXBTC15M-26SEP010300-00,12.0,3.0,0,-105.53000000001339,105.53000000001339,-0.0013384368027127079,-115.58000000000175,-0.0014657141088996132,-9.84000000001106,-32.330000000001746,-32.34000000001106,-47.24000000000524,9.84000000001106,32.330000000001746,32.34000000001106,47.24000000000524,69.4600000000064,0.0001253034579992364,35.17666666667113,1.519291678664032,0,0,2026-09-01 06:45:00+00:00,2026-09-01 06:57:00+00:00,0.09009856355286824,0.9099014364471317,0,DOWN,0.9099014364471317,2026-09-01 06:57:00+00:00,0.005,0.004,0.996,0.996,-0.08609856355286827,True
KXBTC15M-26SEP010330-30,11.0,4.0,1,65.84000000001106,65.84000000001106,0.0008365289739638115,56.44999999999709,0.0007171389345207954,18.960000000006403,43.320000000006985,7.029999999998836,21.90000000000873,18.960000000006403,43.320000000006985,7.029999999998836,21.90000000000873,43.33999999999651,0.0003017248466913908,16.460000000002765,1.5191508998619374,1,0,2026-09-01 07:15:00+00:00,2026-09-01 07:26:00+00:00,0.908632563635727,0.09136743636427302,1,UP,0.908632563635727,2026-09-01 07:26:00+00:00,0.92,0.919,0.08099999999999996,0.92,-0.011367436364273065,True
KXBTC15M-26SEP010345-45,11.0,4.0,0,-243.15999999998894,243.15999999998894,-0.0030884374495520578,-243.68999999998778,-0.003095148279816796,-10.789999999993597,-51.88999999999942,-100.43999999998778,-177.86000000000058,10.789999999993597,51.88999999999942,100.43999999998778,177.86000000000058,184.88999999999942,0.0002842272374663867,60.789999999997235,1.315160365622747,0,0,2026-09-01 07:30:00+00:00,2026-09-01 07:41:00+00:00,0.09585391256347711,0.9041460874365229,0,DOWN,0.9041460874365229,2026-09-01 07:41:00+00:00,0.021,0.02,0.98,0.98,-0.07585391256347707,True
KXBTC15M-26SEP010415-15,10.0,5.0,0,-321.8000000000029,321.8000000000029,-0.004093524179587446,-333.65000000000873,-0.004243624896373754,6.0,-0.08999999999650754,-103.52999999999884,-213.55999999999767,-6.0,0.08999999999650754,103.52999999999884,213.55999999999767,237.4600000000064,0.0006043298411122747,64.36000000000058,1.3551756085235165,0,0,2026-09-01 08:00:00+00:00,2026-09-01 08:10:00+00:00,0.09152341931282028,0.9084765806871797,0,DOWN,0.9084765806871797,2026-09-01 08:10:00+00:00,0.017,0.016,0.984,0.984,-0.07552341931282025,True
KXBTC15M-26SEP010430-30,12.0,3.0,0,-317.63000000000466,317.63000000000466,-0.004058031524451861,-353.5500000000029,-0.00451487245341659,12.739999999990687,-30.089999999996508,-130.69000000000233,-222.22000000000116,-12.739999999990687,30.089999999996508,130.69000000000233,222.22000000000116,294.4899999999907,0.0005321073361351345,105.87666666666821,1.0785765221230421,0,0,2026-09-01 08:15:00+00:00,2026-09-01 08:27:00+00:00,0.0943597509681184,0.9056402490318816,0,DOWN,0.9056402490318816,2026-09-01 08:27:00+00:00,0.01,0.008,0.992,0.992,-0.08635975096811843,True
KXBTC15M-26SEP010500-00,13.0,2.0,0,-66.91999999999825,66.91999999999825,-0.0008587179310492393,-130.97999999999593,-0.0016793558597120622,-1.929999999993015,-1.5399999999935972,-25.339999999996508,-17.59999999999127,1.929999999993015,1.5399999999935972,25.339999999996508,17.59999999999127,57.01999999998952,0.00015362578611252851,33.45999999999913,1.1736232900738435,0,0,2026-09-01 08:45:00+00:00,2026-09-01 08:58:00+00:00,0.08533205494685517,0.9146679450531449,0,DOWN,0.9146679450531449,2026-09-01 08:58:00+00:00,0.06,0.059,0.9410000000000001,0.9410000000000001,-0.0263320549468552,True
KXBTC15M-26SEP010530-30,11.0,4.0,1,94.22999999999593,94.22999999999593,0.0012107951582070457,132.11000000000058,0.0016983555480535966,-26.279999999998836,-34.09000000001106,-17.85000000000582,37.580000000001746,-26.279999999998836,-34.09000000001106,-17.85000000000582,37.580000000001746,71.6700000000128,0.00021757388853982845,23.55749999999898,1.314776056927293,1,0,2026-09-01 09:15:00+00:00,2026-09-01 09:26:00+00:00,0.9165084821099966,0.08349151789000342,1,UP,0.9165084821099966,2026-09-01 09:26:00+00:00,0.984,0.983,0.017000000000000015,0.984,-0.0674915178900034,True
KXBTC15M-26SEP010600-00,11.0,4.0,0,-105.42999999999302,105.42999999999302,-0.0013514937447746175,-96.66999999999825,-0.0012393395898166496,-21.660000000003492,-4.399999999994179,-20.80999999999767,-42.179999999993015,21.660000000003492,4.399999999994179,20.80999999999767,42.179999999993015,70.26000000000931,0.00020500305923113808,26.357499999998254,1.5005693139763598,0,0,2026-09-01 09:45:00+00:00,2026-09-01 09:56:00+00:00,0.09556170907367,0.90443829092633,0,DOWN,0.90443829092633,2026-09-01 09:56:00+00:00,0.066,0.065,0.935,0.935,-0.030561709073670063,True
KXBTC15M-26SEP010630-30,10.0,5.0,1,124.05000000000291,124.05000000000291,0.0015932346670910528,95.41999999999825,0.0012250751388833386,-18.720000000001164,28.980000000010477,16.130000000004657,73.19999999999709,-18.720000000001164,28.980000000010477,16.130000000004657,73.19999999999709,116.25,0.00035298107400846227,24.81000000000058,1.0670967741935735,1,0,2026-09-01 10:15:00+00:00,2026-09-01 10:25:00+00:00,0.9192716795158632,0.0807283204841368,1,UP,0.9192716795158632,2026-09-01 10:25:00+00:00,0.965,0.964,0.03600000000000003,0.965,-0.045728320484136775,True
KXBTC15M-26SEP010645-45,8.0,7.0,1,158.33000000000175,158.33000000000175,0.0020304689609995778,54.5,0.0006979940930488881,14.229999999995925,59.169999999998254,80.61000000000058,72.35000000000582,14.229999999995925,59.169999999998254,80.61000000000058,72.35000000000582,104.66999999999825,0.00029569657550984537,22.618571428571677,1.5126588325212993,1,0,2026-09-01 10:30:00+00:00,2026-09-01 10:38:00+00:00,0.9017272275493823,0.09827277245061772,1,UP,0.9017272275493823,2026-09-01 10:38:00+00:00,0.937,0.933,0.06699999999999995,0.937,-0.03527277245061777,True
KXBTC15M-26SEP010700-00,9.0,6.0,0,-132.05999999999767,132.05999999999767,-0.0016905785514150775,-142.8399999999965,-0.0018283274272793326,17.75,-8.639999999999418,-25.19999999999709,-54.5,-17.75,8.639999999999418,25.19999999999709,54.5,106.61999999999534,0.0003312125473587891,22.00999999999961,1.2386043894204037,0,0,2026-09-01 10:45:00+00:00,2026-09-01 10:54:00+00:00,0.09336424231173591,0.9066357576882641,0,DOWN,0.9066357576882641,2026-09-01 10:54:00+00:00,0.032,0.031,0.969,0.969,-0.062364242311735874,True
KXBTC15M-26SEP010745-45,7.0,8.0,1,124.51000000000931,124.51000000000931,0.0015968489326532627,156.58000000000175,0.002008975081421378,-19.539999999993597,42.09000000001106,63.05000000000291,75.84000000001106,-19.539999999993597,42.09000000001106,63.05000000000291,75.84000000001106,106.84000000001106,0.00041529613088534044,15.563750000001164,1.1653874953200714,1,0,2026-09-01 11:30:00+00:00,2026-09-01 11:37:00+00:00,0.918893400994237,0.081106599005763,1,UP,0.918893400994237,2026-09-01 11:37:00+00:00,0.938,0.937,0.06299999999999994,0.938,-0.019106599005762948,True
KXBTC15M-26SEP010845-45,10.0,5.0,0,-249.02000000000407,249.02000000000407,-0.0031937023708450457,-195.95000000001164,-0.0025147868052429697,-70.6200000000099,-79.51000000000931,-45.41000000000349,-88.18000000000757,70.6200000000099,79.51000000000931,45.41000000000349,88.18000000000757,181.9499999999971,0.0004923730714800713,49.80400000000081,1.3686177521297502,0,0,2026-09-01 12:30:00+00:00,2026-09-01 12:40:00+00:00,0.09953272685067947,0.9004672731493205,0,DOWN,0.9004672731493205,2026-09-01 12:40:00+00:00,0.049,0.048,0.952,0.952,-0.051532726850679444,True
KXBTC15M-26SEP010900-00,10.0,5.0,1,80.47000000000116,80.47000000000116,0.0010326076634964423,107.22999999999593,0.0013764701774635765,23.39999999999418,48.75,11.569999999992433,25.979999999995925,23.39999999999418,48.75,11.569999999992433,25.979999999995925,76.67999999999302,0.00032508452305030793,16.094000000000232,1.0494261867502412,1,0,2026-09-01 12:45:00+00:00,2026-09-01 12:55:00+00:00,0.9183281068898835,0.08167189311011647,1,UP,0.9183281068898835,2026-09-01 12:55:00+00:00,0.83,0.82,0.18000000000000005,0.83,0.08832810688988357,True
KXBTC15M-26SEP010915-15,13.0,2.0,0,-210.86999999999534,210.86999999999534,-0.0027041559518424453,-187.3799999999901,-0.002403648805076757,-43.76999999998952,-63.25,-41.689999999987776,-82.51999999998952,43.76999999998952,63.25,41.689999999987776,82.51999999998952,190.16999999999825,0.0007421998406568603,105.43499999999767,1.1088499763369473,0,0,2026-09-01 13:00:00+00:00,2026-09-01 13:13:00+00:00,0.09821669572346156,0.9017833042765384,0,DOWN,0.9017833042765384,2026-09-01 13:13:00+00:00,0.01,0.009,0.991,0.991,-0.08921669572346158,True
KXBTC15M-26SEP010945-45,11.0,4.0,0,-328.429999999993,328.429999999993,-0.004218406137862401,-402.6299999999901,-0.005166518629006033,-42.04999999998836,-66.33000000000175,-35.86000000000058,-76.00999999999476,42.04999999998836,66.33000000000175,35.86000000000058,76.00999999999476,159.7899999999936,0.0003634748748776381,82.10749999999825,2.0553851930659377,0,0,2026-09-01 13:30:00+00:00,2026-09-01 13:41:00+00:00,0.09821719022029429,0.9017828097797057,0,DOWN,0.9017828097797057,2026-09-01 13:41:00+00:00,0.021,0.02,0.98,0.98,-0.07821719022029427,True
KXBTC15M-26SEP011000-00,11.0,4.0,1,184.30999999999767,184.30999999999767,0.0023680159685295506,136.36000000000058,0.001750875437718867,17.819999999992433,3.5099999999947613,23.679999999993015,-81.15000000000873,17.819999999992433,3.5099999999947613,23.679999999993015,-81.15000000000873,138.43999999998778,0.00020135133583627232,46.07749999999942,1.3313348743138829,1,0,2026-09-01 13:45:00+00:00,2026-09-01 13:56:00+00:00,0.9184606824677957,0.08153931753220434,1,UP,0.9184606824677957,2026-09-01 13:56:00+00:00,0.908,0.907,0.09299999999999997,0.908,0.010460682467795634,True
KXBTC15M-26SEP011015-15,7.0,8.0,1,346.3000000000029,346.3000000000029,0.0044399883583326125,223.27000000000407,0.0028580853785001893,119.38000000000466,249.14999999999418,232.0,194.91999999999825,119.38000000000466,249.14999999999418,232.0,194.91999999999825,308.3399999999965,0.0011388780906828988,43.287500000000364,1.1231108516572836,1,0,2026-09-01 14:00:00+00:00,2026-09-01 14:07:00+00:00,0.9206315492927206,0.07936845070727938,1,UP,0.9206315492927206,2026-09-01 14:07:00+00:00,0.89,0.88,0.12,0.89,0.030631549292720606,True
KXBTC15M-26SEP011045-45,14.0,1.0,1,139.70000000001164,139.70000000001164,0.0017857343727152525,78.01000000000931,0.0009963877909096547,76.65000000000873,80.64000000001397,100.16000000000349,68.49000000000524,76.65000000000873,80.64000000001397,100.16000000000349,68.49000000000524,133.16999999999825,0.0005462244870460567,139.70000000001164,1.04903506795835,1,0,2026-09-01 14:30:00+00:00,2026-09-01 14:44:00+00:00,0.9169313090940965,0.08306869090590352,1,UP,0.9169313090940965,2026-09-01 14:44:00+00:00,0.997,0.996,0.0040000000000000036,0.997,-0.08006869090590352,True
KXBTC15M-26SEP011115-15,7.0,8.0,0,-333.1900000000023,333.1900000000023,-0.004264245785603391,-175.88999999999942,-0.0022556234774637634,-4.389999999999418,-9.389999999999418,-14.759999999994761,-69.47999999999593,4.389999999999418,9.389999999999418,14.759999999994761,69.47999999999593,136.25,0.00018479857183820392,41.64875000000029,2.4454311926605676,0,0,2026-09-01 15:00:00+00:00,2026-09-01 15:07:00+00:00,0.09235841085363912,0.9076415891463608,0,DOWN,0.9076415891463608,2026-09-01 15:07:00+00:00,0.035,0.034,0.966,0.966,-0.05835841085363913,True
