ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,calls,contracts,coverage,accuracy,avg_ask,avg_time_left,meets90,validation_rank
0.6,0.65,0.08,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,46
0.6,0.65,0.1,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,47
0.6,0.65,0.12,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,48
0.6,0.7,0.05,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,49
0.6,0.7,0.08,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,50
0.6,0.7,0.1,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,51
0.6,0.7,0.12,8.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904763,10.19047619047619,True,52
0.6,0.75,0.05,4.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904762,9.666666666666666,True,53
0.6,0.75,0.08,4.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904762,9.666666666666666,True,54
0.6,0.75,0.1,4.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904762,9.666666666666666,True,55
0.6,0.75,0.12,4.0,12.0,75.0,0.0,21,83,0.25301204819277107,0.9523809523809523,0.5361904761904762,9.666666666666666,True,56
0.6,0.75,0.05,6.0,12.0,75.0,0.0,19,83,0.2289156626506024,0.9473684210526315,0.5368421052631579,10.157894736842104,True,57
0.6,0.75,0.08,6.0,12.0,75.0,0.0,19,83,0.2289156626506024,0.9473684210526315,0.5368421052631579,10.157894736842104,True,58
0.6,0.75,0.1,6.0,12.0,75.0,0.0,19,83,0.2289156626506024,0.9473684210526315,0.5368421052631579,10.157894736842104,True,59
0.6,0.75,0.12,6.0,12.0,75.0,0.0,19,83,0.2289156626506024,0.9473684210526315,0.5368421052631579,10.157894736842104,True,60
0.6,0.75,0.05,8.0,12.0,75.0,0.0,18,83,0.21686746987951808,0.9444444444444444,0.5366666666666667,10.38888888888889,True,61
0.6,0.75,0.08,8.0,12.0,75.0,0.0,18,83,0.21686746987951808,0.9444444444444444,0.5366666666666667,10.38888888888889,True,62
