ticker,official_side,last_remaining_min,last_distance,last_side,last_matches_official,one_min_remaining,one_min_distance,one_min_side,one_min_matches_official,final60_n,final60_mean_distance,final60_side,final60_matches_official,final90_n,final90_mean_distance,final90_side,final90_matches_official,final120_n,final120_mean_distance,final120_side,final120_matches_official
KXBTC15M-26AUG250030-30,DOWN,0.8331537666666667,-189.4700000000012,DOWN,True,0.8331537666666667,-189.4700000000012,DOWN,True,1,-189.4700000000012,DOWN,True,1,-189.4700000000012,DOWN,True,2,-213.94999999999712,DOWN,True
KXBTC15M-26AUG250045-45,DOWN,0.5810756166666666,-49.88999999999942,DOWN,True,0.5810756166666666,-49.88999999999942,DOWN,True,1,-49.88999999999942,DOWN,True,2,-44.25,DOWN,True,2,-44.25,DOWN,True
KXBTC15M-26AUG250100-00,UP,0.39193655,88.10000000000582,UP,True,1.2993931833333332,47.729999999995925,UP,True,1,88.10000000000582,UP,True,2,67.91500000000087,UP,True,2,67.91500000000087,UP,True
KXBTC15M-26AUG250115-15,UP,0.8468699166666667,205.99000000000524,UP,True,0.8468699166666667,205.99000000000524,UP,True,1,205.99000000000524,UP,True,1,205.99000000000524,UP,True,2,221.1750000000029,UP,True
KXBTC15M-26AUG250130-30,UP,0.780902,92.77000000000407,UP,True,0.780902,92.77000000000407,UP,True,1,92.77000000000407,UP,True,1,92.77000000000407,UP,True,2,111.81000000000495,UP,True
KXBTC15M-26AUG250145-45,UP,0.70905295,63.52999999999884,UP,True,0.70905295,63.52999999999884,UP,True,1,63.52999999999884,UP,True,1,63.52999999999884,UP,True,2,83.14999999999418,UP,True
KXBTC15M-26AUG250200-00,UP,0.5331004166666667,-2.529999999998836,DOWN,False,1.4467770166666667,29.04000000000815,UP,True,1,-2.529999999998836,DOWN,False,2,13.255000000004657,UP,True,2,13.255000000004657,UP,True
KXBTC15M-26AUG250215-15,UP,0.4069335833333333,27.5399999999936,UP,True,1.318971433333333,9.059999999997672,UP,True,1,27.5399999999936,UP,True,2,18.299999999995634,UP,True,2,18.299999999995634,UP,True
KXBTC15M-26AUG250230-30,DOWN,0.8485452,-3.1699999999982538,DOWN,True,0.8485452,-3.1699999999982538,DOWN,True,1,-3.1699999999982538,DOWN,True,1,-3.1699999999982538,DOWN,True,2,10.240000000005239,UP,False
KXBTC15M-26AUG250245-45,DOWN,0.7852789666666666,-249.70999999999185,DOWN,True,0.7852789666666666,-249.70999999999185,DOWN,True,1,-249.70999999999185,DOWN,True,1,-249.70999999999185,DOWN,True,2,-233.41999999999825,DOWN,True
KXBTC15M-26AUG250300-00,UP,0.7208959333333333,9.400000000008731,UP,True,0.7208959333333333,9.400000000008731,UP,True,1,9.400000000008731,UP,True,1,9.400000000008731,UP,True,2,-22.144999999989523,DOWN,False
KXBTC15M-26AUG250315-15,UP,0.6812088666666667,184.20999999999185,UP,True,0.6812088666666667,184.20999999999185,UP,True,1,184.20999999999185,UP,True,1,184.20999999999185,UP,True,2,190.54999999999563,UP,True
KXBTC15M-26AUG250330-30,DOWN,0.6277829333333333,-42.0399999999936,DOWN,True,0.6277829333333333,-42.0399999999936,DOWN,True,1,-42.0399999999936,DOWN,True,1,-42.0399999999936,DOWN,True,2,-51.75499999999738,DOWN,True
KXBTC15M-26AUG250345-45,DOWN,0.5142210166666666,-197.52999999999884,DOWN,True,1.42411105,-158.17999999999302,DOWN,True,1,-197.52999999999884,DOWN,True,2,-177.85499999999593,DOWN,True,2,-177.85499999999593,DOWN,True
KXBTC15M-26AUG250400-00,DOWN,0.0414151166666666,-772.3500000000058,DOWN,True,0.9536378833333334,-788.8600000000006,DOWN,True,2,-780.6050000000032,DOWN,True,2,-780.6050000000032,DOWN,True,3,-779.1866666666707,DOWN,True
KXBTC15M-26AUG250415-15,UP,0.7804882666666667,180.86000000000055,UP,True,0.7804882666666667,180.86000000000055,UP,True,1,180.86000000000055,UP,True,1,180.86000000000055,UP,True,2,184.9100000000035,UP,True
KXBTC15M-26AUG250430-30,UP,0.8561193166666666,275.8899999999994,UP,True,0.8561193166666666,275.8899999999994,UP,True,1,275.8899999999994,UP,True,1,275.8899999999994,UP,True,2,270.2099999999991,UP,True
KXBTC15M-26AUG250445-45,DOWN,0.4984638833333333,-135.50999999999476,DOWN,True,1.38285505,-179.0899999999965,DOWN,True,1,-135.50999999999476,DOWN,True,2,-157.29999999999563,DOWN,True,2,-157.29999999999563,DOWN,True
KXBTC15M-26AUG250500-00,DOWN,0.8121986,-183.2100000000064,DOWN,True,0.8121986,-183.2100000000064,DOWN,True,1,-183.2100000000064,DOWN,True,1,-183.2100000000064,DOWN,True,2,-182.87000000000262,DOWN,True
KXBTC15M-26AUG250515-15,DOWN,0.2555518333333333,-47.35000000000582,DOWN,True,1.1398580833333334,-28.330000000001743,DOWN,True,1,-47.35000000000582,DOWN,True,2,-37.84000000000378,DOWN,True,2,-37.84000000000378,DOWN,True
KXBTC15M-26AUG250530-30,DOWN,0.2138954,-87.16999999999825,DOWN,True,1.0998564333333334,-130.18000000000757,DOWN,True,1,-87.16999999999825,DOWN,True,2,-108.67500000000291,DOWN,True,3,-104.7366666666688,DOWN,True
KXBTC15M-26AUG250545-45,DOWN,0.18556125,-18.369999999995343,DOWN,True,1.0684084333333332,-29.070000000006985,DOWN,True,1,-18.369999999995343,DOWN,True,2,-23.720000000001164,DOWN,True,3,-2.8733333333366318,DOWN,True
