call_number,contract_id,early_timestamp_utc,early_side,entry_ask_dollars,entry_ask_cents,seconds_remaining,minutes_remaining,time_remaining_mm_ss,official_kalshi_result,official_settlement_side,verdict,official_status,official_settlement_timestamp_utc,official_close_time_utc,official_source_url,official_response_sha256,retrieved_at_utc,source_csv_line
11,KXBTC15M-26SEP030945-45,2026-09-03T13:34:33.368018Z,DOWN,0.22,22.0,626.63,10.443833333333334,10:26.63,yes,UP,WRONG,finalized,2026-09-03T13:45:05.049562Z,2026-09-03T13:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030945-45,b9648bb967fafc0155e28002f8deb6c053766d7945bb943b0ca8df73e40e4a66,2026-09-21T02:30:57.509831+00:00,5240
12,KXBTC15M-26SEP031000-00,2026-09-03T13:51:58.854484Z,DOWN,0.41,41.0,481.15,8.019166666666667,8:01.15,no,DOWN,CORRECT,finalized,2026-09-03T14:00:05.054829Z,2026-09-03T14:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031000-00,6730ba5681d7d8cfbe1765d492b9592ade814521885147ead02a855eb2771cc0,2026-09-21T02:30:57.595692+00:00,5442
13,KXBTC15M-26SEP031015-15,2026-09-03T14:08:34.197901Z,DOWN,0.37,37.0,385.8,6.43,6:25.80,yes,UP,WRONG,finalized,2026-09-03T14:15:05.050511Z,2026-09-03T14:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031015-15,7cc985a4466c77acb25b655ebe11eb0dbd89ad44c36a0a3637f99fb04ad7dcd9,2026-09-21T02:30:57.578072+00:00,5637
14,KXBTC15M-26SEP031445-45,2026-09-03T18:34:17.996439Z,DOWN,0.41,41.0,642.0,10.7,10:42.00,yes,UP,WRONG,finalized,2026-09-03T18:45:05.055472Z,2026-09-03T18:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031445-45,1668f0c02c37de93596ebd0121d58400dbdb9c1780145588889831a10fc0ad8c,2026-09-21T02:30:57.529131+00:00,6063
15,KXBTC15M-26SEP031515-15,2026-09-03T19:04:18.253961Z,UP,0.44,44.0,641.75,10.695833333333333,10:41.75,no,DOWN,WRONG,finalized,2026-09-03T19:15:05.062236Z,2026-09-03T19:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031515-15,2f8bcc1698bdc76ff4e139f986f96c3e6e6400e1d90db7c64568b2d8d150c4c1,2026-09-21T02:30:57.579252+00:00,6418
16,KXBTC15M-26SEP031545-45,2026-09-03T19:38:38.764193Z,UP,0.072,7.2,381.24,6.354,6:21.24,no,DOWN,WRONG,finalized,2026-09-03T19:45:05.510108Z,2026-09-03T19:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031545-45,b87a727e864ec4ac82a12848bf90060ddfe8c14faf6d2ac74df17f28ca601a06,2026-09-21T02:31:02.378327+00:00,6823
17,KXBTC15M-26SEP031600-00,2026-09-03T19:50:33.889840Z,UP,0.35,35.0,566.11,9.435166666666667,9:26.11,yes,UP,CORRECT,finalized,2026-09-03T20:00:35.508579Z,2026-09-03T20:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031600-00,29ad70311aec9d164c989f296caf2076020367b4a4feaf7ef6bce0f124d343a9,2026-09-21T02:31:02.486931+00:00,6964
18,KXBTC15M-26SEP031615-15,2026-09-03T20:04:59.428818Z,UP,0.28,28.0,600.57,10.0095,10:00.57,no,DOWN,WRONG,finalized,2026-09-03T20:15:05.50939Z,2026-09-03T20:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031615-15,a41db2f3871896e9c94d6cebcbf8af4de3b2238e5282660f35d1583518a292f6,2026-09-21T02:31:02.376874+00:00,7129
19,KXBTC15M-26SEP031630-30,2026-09-03T20:20:19.760799Z,UP,0.43,43.0,580.24,9.670666666666667,9:40.24,yes,UP,CORRECT,finalized,2026-09-03T20:30:35.509608Z,2026-09-03T20:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031630-30,9581c0d5b73fe374be32c39ebab54304c7350281be3f14357bc72ad098e5a7dc,2026-09-21T02:31:02.392055+00:00,7308
20,KXBTC15M-26SEP031730-30,2026-09-03T21:20:00.797411Z,UP,0.36,36.0,599.2,9.986666666666666,9:59.20,yes,UP,CORRECT,finalized,2026-09-03T21:30:05.51317Z,2026-09-03T21:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031730-30,9510ce35a85c93462b2846c4d397848c10351e0c7a29fed2952e0e26492d85d5,2026-09-21T02:31:02.471837+00:00,8010
21,KXBTC15M-26SEP031745-45,2026-09-03T21:38:56.367993Z,DOWN,0.33,33.0,363.63,6.0605,6:03.63,no,DOWN,CORRECT,finalized,2026-09-03T21:45:05.515379Z,2026-09-03T21:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031745-45,a9b4504ff439944b96c1c3a6934f4ca56a2e74f3da4fd08a081a9b68f9f9258c,2026-09-21T02:31:08.303470+00:00,8228
22,KXBTC15M-26SEP031845-45,2026-09-03T22:36:14.965432Z,UP,0.3,30.0,525.03,8.7505,8:45.03,yes,UP,CORRECT,finalized,2026-09-03T22:45:05.518086Z,2026-09-03T22:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031845-45,a55f9ed8f097e180656f695f5e85044b891625072794790519d3c807ce250a6f,2026-09-21T02:31:08.211691+00:00,8586
23,KXBTC15M-26SEP031945-45,2026-09-03T23:37:03.354472Z,UP,0.34,34.0,476.65,7.944166666666667,7:56.65,no,DOWN,WRONG,finalized,2026-09-03T23:45:05.514185Z,2026-09-03T23:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP031945-45,e1e942c1b33049064c1aa81b20ac7e53a515f5d63bf7d4b35dbe56a658d9d800,2026-09-21T02:31:08.215875+00:00,9132
24,KXBTC15M-26SEP032345-45,2026-09-04T03:36:06.641836Z,UP,0.39,39.0,533.36,8.889333333333333,8:53.36,yes,UP,CORRECT,finalized,2026-09-04T03:45:05.511415Z,2026-09-04T03:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP032345-45,e37ce05f14089e42a02069514e8226601da85fef13636cc71ef2fdae3a08398a,2026-09-21T02:31:08.214592+00:00,10212
25,KXBTC15M-26SEP040100-00,2026-09-04T04:49:38.823245Z,DOWN,0.44,44.0,621.18,10.353,10:21.18,yes,UP,WRONG,finalized,2026-09-04T05:00:05.510388Z,2026-09-04T05:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP040100-00,32141109e05c5418eb176e8e11b8ba552a25ef736c176e48f158a20873ce34f7,2026-09-21T02:31:08.278487+00:00,11067
26,KXBTC15M-26SEP040130-30,2026-09-04T05:20:29.089844Z,DOWN,0.19,19.0,570.91,9.515166666666667,9:30.91,yes,UP,WRONG,finalized,2026-09-04T05:30:05.558998Z,2026-09-04T05:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP040130-30,5b754e46ea67e7f30bab023fd193b9f5b24d378acd3717cd42ccaddc772e13df,2026-09-21T02:31:15.589716+00:00,11435
